,caar,ci_lo,ci_hi
-10,-0.0012716399596201134,-0.005000820931263428,0.0025144787842737762
-9,-0.002138319584428946,-0.007302160276792389,0.0032241068241569645
-8,0.0046970814255782286,-0.0017796579129744311,0.011505554285018352
-7,0.007013700847235759,-0.0018865901300980084,0.01618440526062978
-6,0.00382371303876952,-0.005622734946097274,0.01291101675727239
-5,0.003764998109778363,-0.005976328634331298,0.013355599579008897
-4,0.0052083558996385195,-0.005520210282563734,0.015954848509143946
-3,0.01062259120211515,,
-2,0.015175199736348656,,
-1,0.016097473330397325,,
0,0.0363821503276693,,
1,0.03747880505379264,,
2,0.03444181862945899,,
3,0.032366933172565435,,
4,0.029111541451144318,,
5,0.02614452542614145,,
6,0.026789159948894536,,
7,0.023713084009112463,,
8,0.022550030504549495,,
9,0.020750402927993853,,
10,0.020857014009794683,,
11,0.022214308986187703,,
12,0.024601420186689104,,
13,0.023287212510928086,,
14,0.02969118702997891,,
15,0.02628068644164538,,
16,0.02758930406757711,,
17,0.02745318612201982,,
18,0.0264174111652012,,
19,0.02649867465874739,,
20,0.02969579482320325,,
21,0.03121613321247063,,
22,0.032306550603954876,,
23,0.032098896155931124,,
24,0.03255084702876424,,
25,0.031726499602566176,,
26,0.032217880088023114,,
27,0.03500003537580788,,
28,0.03743052231035295,,
29,0.03687625799787778,,
30,0.03465877741566569,,
31,0.03509500365584589,,
32,0.03295706847796755,,
33,0.03386143996040866,,
34,0.03071254715395144,,
35,0.027127136376372107,,
36,0.028029554589180723,,
37,0.030765897347047044,,
38,0.032143517468119075,,
39,0.029929475204680686,,
40,0.030670846784858503,,
41,0.0342726910793693,,
42,0.03437881187478427,,
43,0.03802396785950907,,
44,0.03657640975714551,,
45,0.03828879175971976,,
46,0.03698899645752996,,
47,0.03307408232901088,,
48,0.03169650335340304,,
49,0.027715964931489288,,
50,0.027517524110890923,,
51,0.02566392188663289,,
52,0.02639677974387454,,
53,0.0261528534204339,,
54,0.02615552805049508,,
55,0.02690887920897929,,
56,0.02370152073185842,,
57,0.027473216301812896,,
58,0.020237853049149945,,
59,0.027300659371174478,,
60,0.035293059006302786,,
