slice,tercile,n,CAAR_2_20_pct,CI_lo,CI_hi
Market cap,T1,51,-1.4762249797213574,-4.2579502564722285,1.4241274322211042
Market cap,T2,51,1.2142528770760648,-1.6059573583105446,4.046845689366805
Market cap,T3,51,-1.9805512003253831,-5.115735505861306,1.2204429106139396
Materiality,T1,51,1.5731152929801613,-1.346207277762467,4.686986763412525
Materiality,T2,51,-0.9576415373248928,-3.4674101054210857,1.7127203746441646
Materiality,T3,51,-2.857997058625944,-6.092152493900217,0.29215360987747946
Liquidity,T1,57,-2.0756380890304684,-4.3670346859814035,0.3048777271123574
Liquidity,T2,48,-1.3844886015293203,-4.87074809298462,2.018707102516893
Liquidity,T3,48,1.4666278228466583,-1.5805679210184893,4.60804622495695
