symbol,shares
NINSYS,18576000
NIPPOBATRY,7500000
NIRAJ,59694340
NIRMAN,8009676
NITCO,240566105
NITINFIRE,292270016
NITINSPIN,56220000
NITIRAJ,10251000
NIVABUPA,1849233703
NLCINDIA,1386636609
NMDC,8791817550
NOCIL,167024930
NOIDATOLL,186195002
NORBTEAEXP,15544100
NORTHARC,161640009
NOVAAGRI,90019813
NPST,20863500
NRAIL,17019100
NRBBEARING,96922600
NRL,69068995
NTPC,9696666134
NTPCGREEN,8426329669
NUCLEUS,26325306
NURECA,9541920
NUVAMA,184218248
NUVOCO,357156153
NYKAA,2865089837
OBCL,21082790
OBEROIRLTY,363602237
ODIGMA,31258450
OFSS,87083127
OIL,1626607791
OLAELEC,4418680703
OLECTRA,82080737
OMAXE,182900540
OMFURN,11774400
OMINFRAL,96303809
OMNI,123666020
ONELIFECAP,37360000
ONEPOINT,262497155
ONGC,12580279206
ONMOBILE,106321351
ONWARDTEC,21933211
OPTIEMUS,90166450
ORBTEXP,25620330
ORCHPHARMA,50719105
ORIANA,20319150
ORICONENT,157047715
ORIENTBELL,14710476
ORIENTCEM,205459873
ORIENTCER,119639200
ORIENTELEC,213365899
ORIENTLTD,10000000
ORIENTPPR,212185502
ORIENTTECH,45805916
ORISSAMINE,6000000
OSIAHYPER,164573900
OSWALPUMPS,114004897
OWAIS,18182398
PACEDIGITK,215851327
PAGEIND,11153874
PAISALO,914149114
PAKKA,47668100
PANACEABIO,61250746
PANACHE,15228000
PAR,12304636
PARADEEP,1038520250
PARAGMILK,126508539
PARAGON,19566000
PARAS,80587330
PARIN,11118000
PARKHOTELS,213374246
PARSVNATH,435181170
PATANJALI,1087879698
PATELENG,955047697
PATELRMART,33400528
PATINTLOG,58785746
PATTECH,7757187
PAVNAIND,139530000
PAYTM,641133110
PCBL,393462604
PCJEWELLER,9741084855
PDMJEPAPER,94950000
PDSL,141237401
PENIND,134946231
PENINLAND,331728220
PENTAGON,7710000
PERFECT,11063778
PERSISTENT,156231044
PETRONET,1500000088
PFC,3300101760
PFIZER,45747732
PFOCUS,778773880
PFS,642283335
PGEL,286496708
PGHH,32460736
PGIL,46190542
PHANTOMFX,13579200
PHOENIXLTD,357663719
PICCADIL,98569416
PIGL,21168900
PIIND,151706138
PILITA,235000000
PINELABS,1153858090
PIONEEREMB,30815442
PIRAMALFIN,226004925
PITTIENG,36913588
PKTEA,3095879
PLATIND,54924873
PLAZACABLE,43752078
PNBHOUSING,260803913
PNC,14467000
PNCINFRA,256539165
PNGJL,135708333
POCL,76278198
PODDARMENT,10610000
POKARNA,31004000
POLICYBZR,462042002
POLYCAB,150635053
POLYMED,101361465
POLYPLEX,32588162
POLYSIL,11341090
PONNIERODE,8598418
POONAWALLA,875866912
POWERGRID,9300603819
POWERINDIA,44572363
POWERMECH,31616292
PPAP,14152987
PRAENG,69935791
PRAJIND,183813088
PRAKASH,179081839
PRAKASHSTL,175000390
PRAMARA,10971168
PRATHAM,17760000
PRAXIS,185812210
PRECAM,94985835
PRECOT,12000000
PRECWIRE,182807975
PREMEXPLN,53761195
PREMIER,30372570
PREMIERENE,451446522
PREMIERPOL,104742475
PRESSTONIC,9075082
PRESTIGE,430730232
PRINCEPIPE,110561079
PRITI,13353328
PRITIKA,26365030
PRITIKAUTO,166512667
PRIVISCL,39062706
PRIZOR,10691203
PRLIND,22862547
PROPEQUITY,10482104
PROSTARM,58874592
PROTEAN,40621194
PRSMJOHNSN,503356580
PRUDENT,41406680
PRUDMOULI,32252000
PSB,7095585220
PSPPROJECT,39641791
PTC,296008321
PTCIL,14992549
PTL,132377000
PUNJLLOYD,335596000
PURVA,237149686
PVP,260403681
PVRINOX,98199962
PVSL,71198198
PWL,2900900000
PYRAMID,36784800
QMSMEDI,18055298
QPOWER,77444100
QUADFUTURE,40000000
QUESS,149359849
QUESTLAB,16387200
QUICKHEAL,54258502
QUICKTOUCH,11815996
RACE,17257200
RACLGEAR,11788080
RADAAN,54161540
RADHIKAJWE,118000000
RADIANTCMS,106707906
RADICO,133982398
RADIOCITY,345685625
RADIOWALLA,7048236
RAILTEL,320938407
RAIN,336345679
RAJESHEXPO,295259959
RAJMET,276480000
RAJOOENG,178675293
RAJRATAN,50771000
RAJSREESUG,33135606
RALLIS,194468890
RAMANEWS,147522032
RAMAPHO,35386426
RAMASTEEL,1636040979
RAMCOCEM,236292380
RAMCOIND,86841560
RAMCOSYS,37596664
RAMKY,69197791
RAMRAT,93349072
RANEHOLDIN,14277809
RATEGAIN,118395381
RATNAMANI,70092000
RAYMOND,66551431
RBA,711718862
RBLBANK,1550939406
RBMINFRA,8441000
RBS,22861350
RCDL,35440071
RCF,551688100
RCOM,2744254050
REDINGTON,781774431
REFEX,137219448
REGENCERAM,26441586
RELAXO,248938586
RELCAPITAL,251108992
RELIGARE,344733742
RELTD,198549403
REMSONSIND,34878785
REMUS,11784000
RENUKA,2128489773
REPCOHOME,62561362
REPL,18122500
RESPONIND,266608544
RGL,107396471
RHFL,485058818
RHIM,206501426
RICOAUTO,135285000
RILINFRA,18605000
RISHABH,38692572
RITES,480603774
RKEC,23990600
RKFORGE,181808283
RMCL,13392185
RMDRIP,428228571
RML,27637137
RNAVAL,52682200
RNBDENIMS,269920320
ROCKINGDCE,6480872
ROHLTD,27425215
ROLEXRINGS,262333120
ROLLT,250130000
ROSSARI,55394116
ROSSELLIND,37696475
ROSSTECH,37696475
ROTO,188445660
ROUTE,63003082
ROXHITECH,22836350
RPGLIFE,16539015
RPPINFRA,49585918
RPPL,73344000
RPSGVENT,33086409
RPTECH,65899665
RSL,83567658
RSWM,47101684
RSYSTEMS,118495958
RTNINDIA,1380887604
RTNPOWER,5370105860
RUBICON,165092124
RUBYMILLS,33440000
RUCHIRA,29844985
RULKA,4258400
RUPA,79524560
RUSHIL,293416820
RUSTOMJEE,126247473
RVHL,61325746
RVNL,2085020100
S&SPOWER,12341550
SAAKSHI,17656000
SAATVIKGL,127105004
SABEVENTS,524186
SADBHAV,171570800
SADBHIN,352225216
SADHAV,14352618
SADHNANIQ,3032194385
SAFARI,48997306
SAGCEM,130707548
SAHAJSOLAR,21972020
SAHANA,10604525
SAIL,4130525289
SAILIFE,212313616
SAIPARENT,44179231
SAKAR,21949910
SAKHTISUG,118849036
SAKUMA,1567718640
SALASAR,1747950290
SALONA,5262400
SALSTEEL,144766700
SALZERELEC,17682737
SAMBHV,294671429
SAMHI,222359672
SAMMAANCAP,1145673631
SAMPANN,51110000
SANATHAN,84404059
SANDHAR,60190708
SANDUMA,486104814
SANGAMIND,49310016
SANGANI,13776990
SANGHIIND,258326000
SANGHVIMOV,86576000
SANGINITA,25901550
SANOFI,23030622
SANOFICONR,23030622
SANSERA,62403568
SANSTAR,200268407
SAPPHIRE,321382905
SARDAEN,352381270
SAREGAMA,191959490
SARLAPOLY,79503000
SARTELE,47107500
SARVESHWAR,1231626469
SASKEN,15191491
SATHAISPAT,50900000
SATIA,100000000
SATIN,109988019
SAURASHCEM,111287280
SBC,476190000
SBCL,57604200
SBFC,1107497215
SBGLP,173416440
SBILIFE,1003349572
SBIN,9230617586
SCHAEFFLER,156303670
SCHAND,35272192
SCHNEIDER,239104035
SCI,465799010
SCILAL,465799010
SCPL,10500000
SDBL,207901312
SEAMECLTD,25425000
SECMARK,10447000
SECURCRED,41062760
SECURKLOUD,33410605
SEJALLTD,11400000
SEL,2318750
SEMAC,3117308
SENCO,163900959
SEPC,1895410970
SERVICE,11498500
SERVOTECH,225845000
SESHAPAPER,63068140
SETCO,133767275
SETL,201931412
SEYAIND,26570540
SFL,109203314
SGIL,15535000
SHAH,992374228
SHAILY,45995248
SHAKTIPUMP,123397965
SHALBY,107519005
SHANTI,11106000
SHANTIGEAR,76715853
SHARDAMOTR,57407736
SHAREINDIA,218825530
SHARONBIO,5755620
SHEKHAWATI,34470000
SHEMAROO,28730299
SHERA,22788347
SHIGAN,20327400
SHILPAMED,195581816
SHIRPUR-G,29137200
SHIVALIK,15750365
SHIVAMAUTO,131495219
SHIVAMILLS,8641808
SHIVATEX,12962713
SHK,138420801
SHOPERSTOP,110205662
SHRADHA,58635418
SHREDIGCEM,147914278
SHREECEM,36080748
SHREEJISPG,162918254
SHREEKARNI,7072000
SHREERAMA,133468005
SHRIPISTON,46386272
SHRIRAMFIN,2352983543
SHRIRAMPPS,170654392
SHYAMCENT,212172990
SHYAMMETL,278326554
SICALLOG,79784870
SIEMENS,356120505
SIGACHI,382117010
SIGIND,29437000
SIGMAADV,176239705
SIGNATURE,140686026
SIGNORIA,4758000
SIGNPOST,53450000
SIKKO,436800000
SILGO,26166745
SILVERTUC,126810000
SIMBHALS,41279020
SIMPLEXINF,79095346
SINTERCOM,27527822
SIRCA,56792800
SIS,141026022
SITINET,872053848
SJLOGISTIC,15243130
SJS,32026654
SJVN,3929795175
SKFINDIA,49437963
SKFINDUS,49437963
SKIL,216571232
SKIPPER,112904035
SKP,16600000
SKYGOLD,154873884
SLONE,5269013
SMARTLINK,9975000
SMARTWORKS,114381076
SMLMAH,14471646
SMLT,13689750
SMVD,10030105
SOBHA,106932977
SOFTTECH,13842138
SOLARINDS,90490055
SOLARWORLD,86672654
SOLEX,10802489
SOMANYCERA,41012806
SOMATEX,33033000
SOMICONVEY,11779656
SONACOMS,623890650
SONATSOFTW,276794469
SONISOYA,5154960
SONUINFRA,10349000
SOTAC,11050000
SOTL,68560415
SOUTHWEST,32651422
SPAL,25138883
SPARC,324521588
SPCENET,567736000
SPCL,24115754
SPECIALITY,48235657
SPECTRUM,15713840
SPECTSTM,23093096
SPENCERS,90132009
SPIC,203640336
SPLIL,29000004
SPLPETRO,188041342
SPMLINFRA,84149923
SPORTKING,127072000
SPTL,636150976
SRF,296406025
SRIVASAVI,14174166
SRM,22944200
SRPL,257040000
SRSLTD,278582016
SSFL,8570400
SSINFRA,14170400
SSWL,157265105
STALLION,116085737
STANLEY,57125663
STAR,92172714
STARCEMENT,404180417
STARHEALTH,588403502
STARPAPER,15608350
STARTECK,9910330
STEELCAS,101200000
STEELXIND,1275518412
STERTOOLS,36344426
STLNETWORK,488108515
STLTECH,513911242
STOVEKRAFT,33107321
STYL,161805826
STYLAMIND,16948060
STYLEBAAZA,76117353
STYRENIX,17585625
SUBEXLTD,554855308
SUBROS,65235750
SUDARCOLOR,23081798
SUDARSCHEM,79607576
SUDEEPPHRM,112948625
SULA,84447229
SUMEETINDS,694749487
SUMICHEM,499145736
SUMIT,45268753
SUMMITSEC,10901781
SUNCLAY,22046162
SUNDARAM,473877773
SUNDRMBRAK,3934575
SUNDRMFAST,210128370
SUNDROP,37696853
SUNFLAG,180219448
SUNPHARMA,2399334970
SUNTECK,146842025
SUPERSPIN,55000000
SUPRAJIT,137179346
SUPREME,38646853
SUPREMEENG,249950000
SUPREMEIND,127026870
SUPREMEINF,97502760
SUPREMEPWR,24991135
SUPRIYA,80482800
SURAJEST,47773388
SURANASOL,49206600
SURANAT&P,135759963
SURYAROSNI,217635896
SURYODAY,106296649
SUULD,61135310
SUVEN,282562686
SUVIDHAA,209806690
SUYOG,11717120
SUZLON,13745636636
SWANCORP,313456886
SWANDEF,52682150
SWARAJ,26418260
SWARAJENG,12149865
SWELECTES,15158760
SWIGGY,2620001701
SWSOLAR,233541391
SYMPHONY,68671400
SYNGENE,402503158
SYNOPTICS,8480000
SYRMA,192624977
SYSTANGO,14668800
TAC,20959200
TAJGVK,62701495
TALBROAUTO,61728150
TANLA,132050724
TAPIFRUIT,4273000
TARACHAND,78824900
TARAPUR,19500011
TARIL,300165834
TARMAT,25064255
TARSONS,53206281
TASTYBITE,2566000
TATACAP,4216692745
TATACOMM,285085643
TATACONSUM,989690012
TATAELXSI,62299561
TATAPOWER,3195339547
TATASTEEL,12474316070
TATATECH,406051830
TATVA,23392055
TBI,18158405
TBZ,66730620
TCI,76831142
TCL,24341437
TCPLPACK,9080905
TDPOWERSYS,312456860
TEAMGTY,8993149
TEAMLEASE,15281400
TECHIN,14326000
TECHLABS,17281064
TECHM,885898127
TECHNOE,116299574
TECILCHEM,18963770
TEGA,75127698
TEJASNET,177707093
TEMBO,154671460
TERASOFT,12511875
TEXINFRA,127426590
TEXMOPIPES,29195000
TEXRAIL,406864572
TFL,55116194
TGL,11999600
THEINVEST,52242217
THEJO,10847454
THELEELA,333957878
THEMISMED,92100120
THERMAX,112648671
THOMASCOOK,470380562
THYROCARE,159161691
TI,247170825
TICL,155000000
TIGERLOGS,105725000
TIIL,22672798
TIINDIA,193572320
TIJARIA,28626579
TIL,70352056
TIMESCAN,6988000
TIMETECHNO,493635379
TIMKEN,75218734
TINNARUBR,18015757
TIRUMALCHM,120552774
TIRUPATIFL,118280000
TITAGARH,134673768
TITAN,887312335
TMB,158351454
TMCV,3682700304
TMPV,3682891544
TNPETRO,89971474
TNPL,69210600
TOLINS,39508831
TORNTPHARM,380367856
TORNTPOWER,503903543
TOTAL,16126973
TOUCHWOOD,11081245
TPHQ,1096219600
TPLPLASTEH,78003000
TRACXN,106925031
TRANSRAILL,134256025
TRANSTEEL,21706010
TRANSWIND,7549000
TRANSWORLD,21957533
TRAVELFOOD,131679484
TREEHOUSE,42310724
TREJHARA,24116754
TREL,245695524
TRENT,533232301
TRF,11004412
TRIDENT,5095584070
TRIDHYA,23288000
TRIGYN,30785736
TRITURBINE,317898459
TRIVENI,220363016
TRU,118861871
TRUALT,85752591
TRUST,23825200
TTKPRESTIG,136966384
TTL,258310944
TTML,1954927727
TUNWAL,55301080
TVSELECT,18650318
TVSHLTD,20232104
TVSSCS,441180027
TVSSRICHAK,7657050
TVTODAY,59668615
TVVISION,38744500
UBL,264405149
UCAL,22113625
UCL,11236700
UCOBANK,12539558979
UDS,66953241
UEL,133397814
UFBL,39117661
UFO,38824757
UGARSUGAR,112500000
UGROCAP,152815503
UJJIVANSFB,1948540569
ULTRACEMCO,294169635
UMA,20274286
UMIYA-MRO,18684602
UNICHEMLAB,70405750
UNIDT,20303126
UNIECOM,112379173
UNIHEALTH,15699952
UNIINFO,10693120
UNIMECH,50901997
UNIONBANK,7633605607
UNIPARTS,45105313
UNITDSPR,710055403
UNIVASTU,35986770
UNIVCABLES,34695381
UNIVPHOTO,10946604
UNOMINDA,577467206
UPL,844169318
URAVIDEF,11400000
URBAN,8660000
URJA,525453377
USHAMART,304400280
USK,55357142
UTIAMC,128539028
UTKARSHBNK,1779523684
UTTAMSUGAR,38138120
UWCSL,5203571
UYFINCORP,190238329
V2RETAIL,364637550
VADILALIND,7187830
VAIBHAVGBL,167285085
VAISHALI,130462130
VAKRANGEE,1083191807
VALECHAENG,22530000
VALIANTORG,28034610
VARDMNPOLY,483019004
VARROC,152786400
VASA,5992550
VASCONEQ,231697111
VASWANI,32946153
VBL,3382464894
VCL,183752220
VEDL,3904801732
VEEDOL,16994860
VENKEYS,14087336
VENTIVE,233541608
VENUSPIPES,20716110
VENUSREM,13366988
VERANDA,96350847
VERTOZ,85230000
VGL,51528678
VGUARD,436891055
VHL,3191536
VHLTD,71662928
VIDEOIND,334459008
VIJIFIN,221000000
VIKASECO,1768706024
VIKASLIFE,1857668560
VIKRAMSOLR,362354381
VIKRAN,257911026
VILINBIO,15250000
VIMTALABS,44686904
VINATIORGA,103665632
VINDHYATEL,11850863
VINSYS,14677927
VINYAS,12584726
VIPCLOTHNG,90129519
VIPIND,142053696
VIPULLTD,140959480
VIRINCHI,112707372
VISACHROME,145789500
VISAKAIND,86404760
VISHNU,67315284
VISHNUINFR,24609671
VISHWARAJ,217827700
VISHWAS,10000000
VISUINTL,38330000
VITAL,23951100
VIVIANA,10042400
VIYASH,439907588
VLEGOV,108451329
VMARCIND,146524176
VMART,79575390
VMSTMT,49631210
VOLTAMP,10117120
VOLTAS,330884740
VPRPL,124644000
VR,8880000
VRAJ,32982619
VRLLOG,174936990
VSCL,12782750
VSSL,96685678
VSTL,18962443
VSTTILLERS,8652754
VTL,289475800
WAAREEENER,287651335
WAAREEINDO,41603691
WAAREERTL,104379217
WABAG,62478164
WAKEFIT,331331698
WALCHANNAG,67904532
WANBURY,34966928
WCIL,101955213
WEALTH,10655000
WEBELSOLAR,434163470
WEL,134008000
WELCORP,263703928
WELENT,135613810
WELSPUNLIV,948060014
WENDT,2000000
WEWIN,10161000
WEWORK,138590252
WHEELS,24433012
WILLAMAGOR,10956360
WINDMACHIN,103459417
WINNY,2170000
WINSOL,11535200
WINSOME,212122
WIPRO,9892631919
WOCKPHARMA,162492169
WOMANCART,6307200
WONDERLA,63422766
WORTHPERI,15751000
WSI,75895318
WSTCSTPAPR,66048908
WTICAB,23811837
XPROINDIA,23470391
XTGLOBAL,134123705
YASHO,12052195
YASHOPTICS,24765600
YATHARTH,96354357
YATRA,156916193
YESBANK,31388295749
YUDIZ,10319375
YUKEN,13584000
ZAGGLE,134458445
ZEAL,13309750
ZEEL,960519420
ZEELEARN,327731291
ZEEMEDIA,655428680
ZENITHDRUG,17148800
ZENITHSTL,142280448
ZENSARTECH,226799456
ZENTEC,89942136
ZFCVINDIA,113805504
ZICOM,41224100
ZOTA,30332655
ZTECH,14330248
ZUARI,42058006
ZUARIIND,29781184
ZYDUSLIFE,997503832
ZYDUSWELL,318160720
