symbol,shares
BEL,7309778829
BELRISE,967151919
BEML,83289000
BEPL,248858460
BERGEPAINT,1166002812
BETA,10094553
BEWLTD,13073324
BFINVEST,37667628
BFUTILITIE,37667628
BGRENERGY,72161560
BHAGERIA,43644180
BHAGYANGR,33496434
BHANDARI,332956433
BHARATFORG,478088632
BHARATRAS,16621072
BHARATSE,62800000
BHARATWIRE,68782985
BHARTIARTL,6238008259
BHEL,3482063355
BIGBLOC,141575750
BIKAJI,250736400
BIL,13410411
BIRLACABLE,30000000
BIRLACORPN,77005347
BIRLAMONEY,56509201
BIRLATYRE,142590000
BKMINDST,65534050
BLBLIMITED,52865258
BLISSGVS,106275222
BLKASHYAP,225440000
BLS,411522253
BLSE,90654077
BLUEBLENDS,21651200
BLUEDART,23727934
BLUEJET,173465425
BLUEPEBBLE,4080000
BLUESTARCO,205592636
BLUSPRING,149502111
BMETRICS,12313920
BMWVENTLTD,86715000
BODALCHEM,125944065
BOMDYEING,206534900
BOROLTD,119587629
BORORENEW,147183709
BPCL,4272584874
BRFL,317476000
BRIGADE,326162379
BRIGHOTEL,379842565
BRIGHT,24999000
BRITANNIA,240868296
BRNL,83950000
BROOKS,29457248
BSE,406129077
BSHSL,104937280
BSOFT,279579589
BTML,181697777
BURNPUR,17224873
BUTTERFLY,17879551
BVCL,22160000
BYKE,52279300
CALSOFT,15457106
CAMLINFINE,192091613
CAMS,248297551
CANARYS,57196113
CANDC,25445300
CANFINHOME,133154591
CANHLIFE,947484925
CAPACITE,84604043
CAPILLARY,79471983
CAPLIPOINT,76011696
CAPTRUST,33875489
CARBORUNIV,190505384
CARERATING,30087146
CARRARO,56851538
CARTRADE,48512035
CARYSIL,28442606
CASTROLIND,989122384
CCAVENUE,3472828470
CCCL,446759451
CCL,133335339
CDSL,209000000
CEATLTD,40450092
CEIGALL,174204861
CEINSYS,20937661
CELESTIAL,22586400
CELLECOR,217677800
CEMPRO,171787584
CENTENKA,21850589
CENTEXT,80000000
CENTRALBK,9051401274
CENTRUM,474507460
CENTUM,14762016
CENTURYPLY,222172990
CEREBRAINT,121186482
CESC,1325570430
CEWATER,20696233
CGCL,962153962
CGPOWER,1575450059
CGRAPHICS,24286000
CHAMBLFERT,400652297
CHAVDA,24656000
CHEMBOND,13448288
CHEMCON,36630701
CHEMFAB,14373702
CHEMPLASTS,158109574
CHENNPETRO,148911400
CHOICEIN,222776500
CHOLAFIN,854065996
CIEINDIA,379362377
CINEVISTA,57436475
CIPLA,807853166
CKFSL,72854496
CLCIND,103947
CLEAN,106282520
CLEANMAX,117271170
CLEDUCATE,54292947
CLOUD,41054393
CLSL,17140000
CMICABLES,16027457
CMMIPL,156732
CMNL,24134764
CMRSL,2928000
CMSINFO,160063415
CNL,15016675
COALINDIA,6162728327
COASTCORP,66977230
COCHINSHIP,263080780
COFFEEDAY,211251719
COFORGE,442920492
COMMITTED,11459600
COMPINFO,85768064
COMPUSOFT,79125188
CONCOR,761617935
CONCORDBIO,104616204
CONFIPET,332241043
CONTROLPR,15994212
CORDSCABLE,12927780
COROMANDEL,294541099
COSMOFIRST,25958155
COUNCODOS,77597300
CPCAP,18192939
CPEDU,18192939
CPPLUS,118300435
CPS,2211120
CRAFTSMAN,26154433
CRAYONS,24430000
CREDITACC,160259533
CREST,28268775
CRISIL,73130017
CRIZAC,174982500
CROMPTON,643914875
CROWN,11223344
CSBBANK,169477587
CUB,990787237
CUMMINSIND,277200000
CUPID,1344660700
CYBERMEDIA,20620657
CYBERTECH,30280593
CYIENT,104090454
CYIENTDLM,79364396
DABUR,1773957026
DALBHARAT,187565953
DALMIASUG,80939303
DANGEE,153975000
DATAMATICS,59106389
DATAPATTNS,55983969
DBCORP,178254679
DBEIL,465808600
DBL,162444833
DBOL,65788590
DBREALTY,542406761
DCAL,156783095
DCBBANK,322077427
DCI,16400000
DCM,18677749
DCMFINSERV,22125054
DCMNVL,18677749
DCMSHRIRAM,154854814
DCMSRIND,86992185
DCW,295155017
DCXINDIA,111386427
DEEDEV,75239438
DEEM,8337272
DEEPAKFERT,126237825
DEEPAKNTR,136393041
DEEPINDS,64000000
DELAPLEX,9110000
DELHIVERY,749166930
DELPHIFX,245267775
DELTACORP,267771097
DELTAMAGNT,10851120
DENEERS,8606400
DENORA,5308634
DENTA,26700000
DENTALKART,16016208
DESTINY,15388000
DEVIT,56363714
DEVYANI,1232939791
DGCONTENT,58022421
DHAMPURSUG,64306509
DHANBANK,394698851
DHANUKA,44578324
DHARAN,5228758452
DHARMAJ,33797296
DHARSUGAR,33200000
DHRUV,18966569
DHTL,3142800
DHUNINV,6097178
DIACABS,598071060
DIAMONDYD,23929955
DICIND,9178977
DIFFNKG,37126259
DIGIKORE,12665600
DIGISPICE,208603263
DIGJAMLMTD,20000000
DIL,162736115
DISHTV,1841256154
DIVGIITTS,30582927
DIVISLAB,265468580
DIXON,60801893
DJML,35929249
DKEGL,7508000
DLF,2475311706
DMCC,24939933
DNAMEDIA,117708018
DODLA,60327809
DOLLAR,56716120
DOLPHIN,40004580
DOMS,60688336
DONEAR,52000000
DPABHUSHAN,22827920
DPEL,23765080
DPSCLTD,973789640
DQE,79282896
DRCSYSTEMS,144081330
DREAMFOLKS,53269862
DREDGECORP,28000000
DRONE,24399998
DRREDDY,833000073
DRSDILIP,15062403
DSKULKARNI,10000000
DSSL,12737080
DTIL,10507427
DTL,8260646
DUCOL,16293958
DUCON,459687351
DUGLOBAL,69776480
DURLAX,18071158
DVL,35024754
DYCL,48458638
DYNAMATECH,6791443
DYNAMIC,23518192
E2E,205457890
EASEMYTRIP,3984650000
EASTSILK,5000000
EBGNG,114011517
ECLERX,92025272
ECOSMOBLTY,60000000
