,CLOSE_PRICE
20MICRONS,87.75
21STCENMGM,18.55
360ONE,415.45
3IINFOLTD,31.05
3MINDIA,24062.55
3PLAND,21.55
4THDIM,22.5
5PAISA,309.4
63MOONS,178.5
A2ZINFRA,6.6
AAATECH,56.55
AAKASH,6.4
AAREYDRUGS,28.15
AARON,217.45
AARTIDRUGS,452.5
AARTIIND,507.15
AARTIPHARM,351.85
AARTISURF,615.4
AARVEEDEN,20.45
AARVI,127.3
AAVAS,1385.85
ABAN,38.4
ABB,3912.75
ABBOTINDIA,21508.1
ABCAPITAL,166.75
ABFRL,194.5
ABMINTLLTD,52.0
ABSLAMC,343.05
ABSLBANETF,44.09
ABSLLIQUID,1000.01
ABSLNN50ET,42.17
ACC,1819.45
ACCELYA,1264.65
ACCURACY,11.1
ACE,460.75
ACEINTEG,40.75
ACI,537.65
ACL,89.05
ADANIENT,2633.7
ADANIGREEN,988.8
ADANIPORTS,734.05
ADANIPOWER,260.25
ADANITRANS,868.0
ADFFOODS,908.45
ADL,74.2
ADORWELD,1160.2
ADROITINFO,21.0
ADSL,98.85
ADVANIHOTR,91.45
ADVENZYMES,276.15
AEGISCHEM,368.85
AETHER,903.0
AFFLE,908.45
AGARIND,670.75
AGI,597.65
AGRITECH,100.65
AGROPHOS,34.9
AGSTRA,57.6
AHL,284.25
AHLADA,100.3
AHLEAST,122.15
AHLUCONT,542.6
AIAENG,2925.3
AIRAN,16.1
AIROLAM,77.35
AJANTPHARM,1294.05
AJMERA,346.35
AJOONI,5.3
AKASH,25.0
AKG,29.7
AKI,107.3
AKSHAR,66.1
AKSHARCHEM,222.9
AKSHOPTFBR,8.9
AKZOINDIA,2507.85
ALANKIT,9.1
ALBERTDAVD,577.3
ALEMBICLTD,66.95
ALICON,749.55
ALKALI,98.9
ALKEM,3257.9
ALKYLAMINE,2504.75
ALLCARGO,288.5
ALLSEC,456.9
ALMONDZ,66.85
ALOKINDS,12.95
ALPA,56.65
ALPHAGEO,254.4
AMARAJABAT,634.5
AMBER,2035.4
AMBICAAGAR,24.35
AMBIKCO,1538.35
AMBUJACEM,427.3
AMDIND,60.15
AMIORG,1183.7
AMJLAND,23.25
AMRUTANJAN,598.8
ANANDRATHI,853.85
ANANTRAJ,143.5
ANDHRAPAP,460.15
ANDHRSUGAR,115.5
ANDREWYU,22.8
ANGELONE,1206.75
ANIKINDS,32.15
ANMOL,243.35
ANSALAPI,10.6
ANTGRAPHIC,0.65
ANUP,1348.05
ANURAS,1210.85
APARINDS,2820.0
APCL,180.45
APCOTEXIND,509.1
APEX,198.2
APLAPOLLO,1153.35
APLLTD,551.6
APOLLO,33.8
APOLLOHOSP,4550.4
APOLLOPIPE,621.3
APOLLOTYRE,379.1
APOLSINHOT,1385.15
APTECHT,470.3
APTUS,264.0
ARCHIDPLY,67.05
ARCHIES,20.3
ARENTERP,33.9
ARIES,171.9
ARIHANTCAP,37.3
ARIHANTSUP,188.7
ARMANFIN,1526.85
AROGRANITE,40.25
ARROWGREEN,306.75
ARSHIYA,6.0
ARTEMISMED,86.25
ARTNIRMAN,45.85
ARVEE,109.9
ARVIND,122.1
ARVINDFASN,271.6
ARVSMART,317.15
ASAHIINDIA,452.6
ASAHISONG,204.3
ASAL,316.5
ASALCBR,361.85
ASHAPURMIN,151.5
ASHIANA,177.2
ASHIMASYN,13.7
ASHOKA,79.0
ASHOKLEY,152.2
ASIANENE,102.1
ASIANHOTNR,160.65
ASIANPAINT,3120.6
ASIANTILES,51.8
ASMS,8.35
ASPINWALL,235.2
ASTEC,1428.65
ASTERDM,260.4
ASTRAL,1713.2
ASTRAMICRO,349.2
ASTRAZEN,3198.25
ASTRON,26.1
ATALREAL,112.85
ATAM,233.8
ATFL,763.4
ATGL,758.6
ATLANTA,14.2
ATUL,6648.6
ATULAUTO,365.65
AUBANK,762.7
AURIONPRO,754.25
AUROPHARMA,603.5
AURUM,108.45
AUSOMENT,60.7
AUTOAXLES,2253.85
AUTOBEES,141.02
AUTOIND,65.5
AVADHSUGAR,483.7
AVALON,420.05
AVANTIFEED,364.4
AVG,223.8
AVONMORE,64.5
AVROIND,130.2
AVTNPL,91.35
AWHCL,284.2
AWL,488.7
AXISBANK,916.15
AXISBNKETF,444.51
AXISBPSETF,11.01
AXISCADES,378.3
AXISCETF,78.14
AXISGOLD,51.61
AXISHCETF,80.91
AXISILVER,72.57
AXISNIFTY,195.34
AXISTECETF,299.37
AXITA,27.75
AXSENSEX,60.9
AYMSYNTEX,73.35
BAFNAPH,90.0
BAGFILMS,4.05
BAIDFIN,36.2
BAJAJ-AUTO,4498.1
BAJAJCON,185.15
BAJAJELEC,1212.6
BAJAJFINSV,1437.25
BAJAJHCARE,305.55
BAJAJHIND,13.5
BAJAJHLDNG,6641.4
BAJFINANCE,6780.55
BALAJITELE,40.9
BALAMINES,2211.1
BALAXI,586.25
BALKRISHNA,25.55
BALKRISIND,2408.95
BALLARPUR,0.7
BALMLAWRIE,130.9
BALPHARMA,84.0
BALRAMCHIN,387.0
BANARBEADS,82.7
BANARISUG,2770.5
BANCOINDIA,254.75
BANDHANBNK,253.8
BANG,39.0
BANKA,73.4
BANKBARODA,183.3
BANKBEES,445.37
BANKINDIA,74.7
BANSWRAS,158.85
BARBEQUE,626.9
BASF,2461.7
BASML,42.1
BATAINDIA,1527.35
BAYERCROP,4116.35
BBETF0432,1078.33
BBL,2892.3
BBOX,137.85
BBTC,942.15
BBTCL,234.65
BCG,16.25
BCLIND,452.15
BCONCEPTS,246.3
BDL,1076.45
BEARDSELL,22.35
BECTORFOOD,649.75
BEDMUTHA,55.7
BEL,107.9
BEML,1419.55
BEPL,141.25
BERGEPAINT,630.2
BESTAGRO,1087.25
BFINVEST,373.4
BFUTILITIE,339.0
BGRENERGY,54.0
BHAGCHEM,1617.75
BHAGERIA,125.05
BHAGYANGR,47.95
BHANDARI,4.6
BHARATFORG,768.8
BHARATGEAR,124.15
BHARATRAS,10023.75
BHARATWIRE,159.45
BHARTIARTL,799.95
BHEL,80.45
BIGBLOC,166.75
BIKAJI,384.6
BIL,183.9
BINANIIND,23.35
BIOCON,242.15
BIOFILCHEM,42.75
BIRLACABLE,173.85
BIRLACORPN,985.3
BIRLAMONEY,49.4
BIRLATYRE,4.5
BLAL,168.2
BLBLIMITED,19.0
BLISSGVS,72.1
BLKASHYAP,41.3
BLS,175.25
BLUEDART,6093.65
BLUESTARCO,1388.85
BODALCHEM,66.5
BOHRAIND,91.45
