,CLOSE_PRICE
20MICRONS,35.2
21STCENMGM,10.55
3IINFOTECH,5.1
3MINDIA,22982.75
3PLAND,12.35
5PAISA,324.4
63MOONS,82.1
8KMILES,74.9
A2ZINFRA,4.7
AAKASH,59.35
AARON,50.35
AARTIDRUGS,775.2
AARTIIND,1217.65
AARTISURF,1118.7
AARVEEDEN,19.8
AARVI,44.05
AAVAS,1662.2
ABAN,30.6
ABB,1154.35
ABBOTINDIA,16379.2
ABCAPITAL,90.75
ABFRL,160.2
ABMINTLTD,25.0
ABSLBANETF,304.09
ABSLNN50ET,314.9
ACC,1634.45
ACCELYA,1050.8
ACCURACY,34.4
ACE,132.15
ADANIENT,462.45
ADANIGAS,358.7
ADANIGREEN,1013.65
ADANIPORTS,475.75
ADANIPOWER,48.05
ADANITRANS,431.1
ADFFOODS,560.05
ADHUNIKIND,25.3
ADL,29.8
ADORWELD,277.55
ADROITINFO,7.25
ADSL,29.85
ADVANIHOTR,54.0
ADVENZYMES,348.7
AEGISCHEM,244.75
AFFLE,3878.55
AGARIND,100.85
AGCNET,614.9
AGRITECH,39.85
AGROPHOS,19.05
AHLEAST,172.95
AHLUCONT,262.45
AHLWEST,276.45
AIAENG,1946.2
AIRAN,17.2
AJANTPHARM,1687.0
AJMERA,138.0
AKASH,248.65
AKSHARCHEM,248.15
AKSHOPTFBR,8.05
AKZOINDIA,2256.95
ALANKIT,17.05
ALBERTDAVD,454.7
ALCHEM,10.95
ALEMBICLTD,103.05
ALICON,334.4
ALKALI,49.0
ALKEM,2898.5
ALKYLAMINE,3807.1
ALLCARGO,136.05
ALLSEC,266.4
ALMONDZ,17.85
ALOKINDS,22.95
ALPA,36.95
ALPHAGEO,208.8
AMARAJABAT,943.75
AMBER,2326.8
AMBIKCO,841.85
AMBUJACEM,247.6
AMDIND,16.95
AMJLAND,26.85
AMRUTANJAN,504.7
ANANTRAJ,25.65
ANDHRACEMT,6.5
ANDHRAPAP,208.2
ANDHRSUGAR,338.95
ANGELBRKG,358.5
ANIKINDS,22.35
ANKITMETAL,1.3
ANSALAPI,7.05
ANSALHSG,5.95
ANUP,793.35
APARINDS,376.75
APCL,206.85
APCOTEXIND,168.65
APEX,317.1
APLAPOLLO,780.55
APLLTD,1075.75
APOLLO,127.45
APOLLOHOSP,2355.2
APOLLOPIPE,666.7
APOLLOTYRE,189.55
APOLSINHOT,579.6
APTECHT,138.65
ARCHIDPLY,30.05
ARCHIES,14.4
ARCOTECH,2.95
ARENTERP,11.15
ARIES,108.55
ARIHANT,20.2
ARIHANTSUP,35.85
ARMANFIN,739.6
AROGRANITE,40.9
ARROWGREEN,55.45
ARSHIYA,17.15
ARSSINFRA,19.85
ARTEMISMED,220.0
ARVIND,46.95
ARVINDFASN,151.8
ARVSMART,117.75
ASAHIINDIA,266.0
ASAHISONG,268.2
ASAL,28.15
ASALCBR,292.75
ASHAPURMIN,87.5
ASHIANA,103.55
ASHIMASYN,13.45
ASHOKA,94.55
ASHOKLEY,94.95
ASIANHOTNR,67.85
ASIANPAINT,2527.45
ASIANTILES,283.45
ASPINWALL,138.0
ASTEC,1104.0
ASTERDM,168.95
ASTRAL,1471.95
ASTRAMICRO,127.15
ASTRAZEN,4434.9
ASTRON,53.65
ATFL,782.5
ATLANTA,9.25
ATLASCYCLE,40.25
ATUL,5998.35
ATULAUTO,191.85
AUBANK,922.6
AURIONPRO,79.55
AUROPHARMA,874.45
AUSOMENT,53.65
AUTOAXLES,908.4
AUTOIND,35.45
AUTOLITIND,24.35
AVADHSUGAR,233.9
AVANTIFEED,541.8
AVTNPL,46.25
AXISBANK,607.1
AXISBNKETF,306.11
AXISCADES,56.0
AXISGOLD,42.75
AXISNIFTY,140.28
AYMSYNTEX,41.05
BAFNAPH,201.85
BAGFILMS,3.55
BAJAJ-AUTO,3271.65
BAJAJCON,211.6
BAJAJELEC,593.55
BAJAJFINSV,9296.95
BAJAJHIND,6.65
BAJAJHLDNG,3118.85
BAJFINANCE,5122.5
BALAJITELE,71.0
BALAMINES,922.65
BALAXI,642.75
BALKRISHNA,18.4
BALKRISIND,1629.7
BALLARPUR,1.7
BALMLAWRIE,115.6
BALPHARMA,57.5
BALRAMCHIN,182.15
BANARBEADS,58.2
BANARISUG,1452.05
BANCOINDIA,145.6
BANDHANBNK,412.15
BANG,24.3
BANKA,54.05
BANKBARODA,67.15
BANKBEES,308.43
BANKINDIA,52.15
BANSWRAS,112.4
BARTRONICS,2.3
BASF,1635.3
BASML,106.4
BATAINDIA,1606.65
BAYERCROP,5198.1
BBL,917.15
BBTC,1329.55
BCG,4.8
BCP,7.4
BDL,339.9
BEARDSELL,9.5
BEDMUTHA,26.25
BEL,118.25
BEML,774.5
BEPL,143.3
BERGEPAINT,684.25
BFINVEST,303.9
BFUTILITIE,298.35
BGRENERGY,54.35
BHAGERIA,170.4
BHAGYANGR,32.8
BHAGYAPROP,24.8
BHANDARI,1.35
BHARATFORG,553.75
BHARATGEAR,87.05
BHARATRAS,9365.55
BHARATWIRE,32.2
BHARTIARTL,504.2
