,CLOSE_PRICE
20MICRONS,191.21
21STCENMGM,47.6
360ONE,1126.1
3IINFOLTD,15.93
3MINDIA,35130.0
3PLAND,38.69
5PAISA,307.1
63MOONS,740.45
A2ZINFRA,14.37
AAATECH,99.06
AADHARHFC,477.4
AAKASH,8.88
AAREYDRUGS,68.05
AARON,180.0
AARTECH,49.0
AARTIDRUGS,385.05
AARTIIND,367.55
AARTIPHARM,730.25
AARTISURF,399.9
AARVI,124.67
AAVAS,1472.3
ABAN,26.12
ABB,5171.0
ABBOTINDIA,27630.0
ABCAPITAL,346.8
ABCOTS,414.75
ABDL,611.05
ABFRL,76.38
ABGSEC,110.89
ABINFRA,18.95
ABLBL,127.23
ABMINTLLTD,42.06
ABREL,1746.3
ABSLAMC,772.85
ABSLBANETF,60.21
ABSLLIQUID,1000.01
ABSLNN50ET,71.42
ABSLPSE,9.77
ACC,1758.9
ACCELYA,1310.2
ACCURACY,5.54
ACE,947.4
ACEINTEG,22.1
ACI,497.05
ACL,70.45
ACMESOLAR,235.01
ACUTAAS,1661.9
ADANIENSOL,977.55
ADANIENT,2232.5
ADANIGREEN,1020.7
ADANIPORTS,1486.3
ADANIPOWER,143.0
ADFFOODS,209.54
ADL,78.01
ADOR,1026.6
ADROITINFO,10.03
ADSL,153.36
ADVANCE,117.79
ADVANIHOTR,55.94
ADVENTHTL,204.88
ADVENZYMES,303.5
AEGISLOG,730.8
AEGISVOPAK,259.15
AEQUS,158.8
AEROENTER,79.47
AEROFLEX,182.04
AERONEU,76.27
AETHER,862.5
AFCONS,387.0
AFFLE,1676.5
AFFORDABLE,206.34
AFIL,6.69
AFSL,201.06
AGARIND,697.7
AGARWALEYE,497.95
AGI,712.25
AGIIL,266.05
AGRITECH,173.01
AGROPHOS,37.86
AGSTRA,4.16
AHCL,135.68
AHLADA,49.94
AHLEAST,133.68
AHLUCONT,958.75
AIAENG,3816.0
AIIL,2771.5
AIRAN,17.79
AIROLAM,103.0
AJANTPHARM,2600.3
AJAXENGG,594.85
AJMERA,918.8
AJOONI,4.33
AKASH,26.02
AKG,12.42
AKI,7.12
AKSHAR,0.54
AKSHARCHEM,256.1
AKSHOPTFBR,6.55
AKUMS,420.6
AKZOINDIA,3132.7
ALANKIT,10.6
ALBERTDAVD,748.1
ALEMBICLTD,101.7
ALICON,826.65
ALIVUS,887.65
ALKALI,79.82
ALKEM,5628.5
ALKYLAMINE,1579.6
ALLCARGO,10.93
ALLDIGI,833.0
ALLTIME,259.1
ALMONDZ,14.71
ALOKINDS,15.72
ALPA,76.72
ALPHA,47.58
ALPHAETF,24.75
ALPHAGEO,217.54
ALPL30IETF,27.71
ALPSINDUS,3.31
AMANTA,101.73
AMBER,6580.5
AMBICAAGAR,25.15
AMBIKCO,1244.4
AMBUJACEM,541.3
AMDIND,50.38
AMJLAND,51.98
AMNPLST,221.13
AMRUTANJAN,677.4
ANANDRATHI,2989.6
ANANTRAJ,525.45
ANDHRAPAP,66.88
ANDHRSUGAR,74.29
ANGELONE,2504.6
ANIKINDS,53.23
ANKITMETAL,1.73
ANMOL,13.8
ANSALAPI,3.66
ANTELOPUS,405.55
ANTGRAPHIC,0.96
ANTHEM,664.75
ANUHPHR,77.48
ANUP,2176.4
ANURAS,1323.6
