,CLOSE_PRICE
20MICRONS,89.85
21STCENMGM,22.0
3IINFOLTD,42.5
3MINDIA,23738.55
3PLAND,16.85
4THDIM,88.5
5PAISA,307.5
63MOONS,142.15
A2ZINFRA,10.4
AAKASH,8.1
AAREYDRUGS,35.9
AARON,158.3
AARTIDRUGS,463.95
AARTIIND,669.35
AARTISURF,699.0
AARVEEDEN,24.55
AARVI,150.35
AAVAS,1921.9
ABAN,46.75
ABB,3082.95
ABBOTINDIA,19592.5
ABCAPITAL,126.35
ABFRL,311.1
ABMINTLLTD,67.0
ABSLAMC,421.6
ABSLBANETF,42.31
ABSLNN50ET,43.44
ACC,2456.75
ACCELYA,1537.05
ACCURACY,189.75
ACE,311.0
ACEINTEG,70.7
ACI,458.15
ADANIENT,4001.85
ADANIGREEN,2003.3
ADANIPORTS,871.6
ADANIPOWER,331.2
ADANITRANS,3018.7
ADFFOODS,714.4
ADL,59.9
ADORWELD,864.2
ADROITINFO,19.8
ADSL,105.8
ADVANIHOTR,79.35
ADVENZYMES,272.8
AEGISCHEM,318.65
AETHER,921.2
AFFLE,1260.35
AGARIND,638.5
AGI,286.95
AGRITECH,93.55
AGROPHOS,37.9
AGSTRA,74.7
AHLADA,103.5
AHLEAST,113.55
AHLUCONT,443.45
AIAENG,2703.8
AIRAN,16.95
AIROLAM,80.05
AJANTPHARM,1229.25
AJMERA,278.65
AJOONI,7.95
AJRINFRA,1.45
AKASH,34.05
AKG,58.5
AKSHAR,47.35
AKSHARCHEM,313.25
AKSHOPTFBR,10.15
AKZOINDIA,2351.75
ALANKIT,11.05
ALBERTDAVD,595.3
ALEMBICLTD,74.1
ALICON,1067.9
ALKALI,119.4
ALKEM,3084.35
ALKYLAMINE,2780.7
ALLCARGO,469.65
ALLSEC,454.75
ALMONDZ,74.8
ALOKINDS,15.15
ALPA,59.15
ALPHAGEO,272.0
ALPSINDUS,2.15
AMARAJABAT,630.65
AMBER,2031.7
AMBICAAGAR,29.0
AMBIKCO,1515.3
AMBUJACEM,564.05
AMDIND,58.4
AMIORG,885.35
AMJLAND,28.55
AMRUTANJAN,707.3
ANANDRATHI,704.05
ANANTRAJ,102.2
ANDHRACEMT,6.85
ANDHRAPAP,427.85
ANDHRSUGAR,128.3
ANDREWYU,22.75
ANGELONE,1485.2
ANIKINDS,36.5
ANKITMETAL,5.9
ANMOL,159.85
ANSALAPI,22.65
ANTGRAPHIC,0.8
ANUP,863.95
ANURAS,730.85
APARINDS,1520.3
APCL,220.9
APCOTEXIND,485.7
APEX,262.1
APLAPOLLO,1101.3
APLLTD,625.0
APOLLO,247.2
APOLLOHOSP,4418.85
APOLLOPIPE,475.0
APOLLOTYRE,280.45
APOLSINHOT,1414.6
APTECHT,318.3
APTUS,314.9
ARCHIDPLY,70.1
ARCHIES,24.8
ARENTERP,33.15
ARIES,131.35
ARIHANTCAP,68.0
