,CLOSE_PRICE
20MICRONS,224.35
21STCENMGM,87.54
360ONE,1101.95
3IINFOLTD,27.01
3MINDIA,29042.05
3PLAND,52.34
5PAISA,416.4
63MOONS,838.75
A2ZINFRA,21.49
AAATECH,94.33
AADHARHFC,405.7
AAKASH,9.45
AAREYDRUGS,53.2
AARON,347.3
AARTECH,81.75
AARTIDRUGS,422.75
AARTIIND,409.45
AARTIPHARM,660.1
AARTISURF,591.05
AARVEEDEN,134.21
AARVI,120.89
AAVAS,1637.0
ABAN,53.98
ABB,6109.25
ABBOTINDIA,28555.8
ABCAPITAL,169.84
ABDL,385.2
ABFRL,260.4
ABGSEC,104.83
ABINFRA,90.69
ABMINTLLTD,66.32
ABREL,1895.2
ABSLAMC,724.5
ABSLBANETF,48.8
ABSLLIQUID,1000.0
ABSLNN50ET,64.04
ABSLPSE,8.85
ACC,1859.45
ACCELYA,1457.35
ACCURACY,9.24
ACE,1245.5
ACEINTEG,26.71
ACI,605.3
ACL,73.27
ACLGATI,75.04
ACMESOLAR,222.34
ADANIENSOL,688.75
ADANIENT,2225.15
ADANIGREEN,889.75
ADANIPORTS,1066.65
ADANIPOWER,449.9
ADFFOODS,263.45
ADL,87.18
ADORWELD,1052.6
ADROITINFO,17.68
ADSL,203.92
ADVANIHOTR,60.51
ADVENZYMES,335.55
AEGISLOG,814.65
AEROFLEX,176.33
AETHER,823.25
AFCONS,479.85
AFFLE,1527.85
AFFORDABLE,610.7
AFIL,72.38
AGARIND,1129.9
AGI,940.1
AGIIL,1676.8
AGRITECH,172.12
AGROPHOS,37.78
AGSTRA,57.83
AHL,220.7
AHLADA,87.89
AHLEAST,139.22
AHLUCONT,851.9
AIAENG,3297.4
AIIL,1744.95
AIRAN,31.38
AIROLAM,121.54
AJANTPHARM,2775.95
AJMERA,1008.9
AJOONI,7.26
AKASH,30.21
AKG,17.31
AKI,11.09
AKSHAR,0.67
AKSHARCHEM,272.55
AKSHOPTFBR,10.24
AKUMS,609.25
AKZOINDIA,3700.45
ALANKIT,19.19
ALBERTDAVD,1174.6
ALEMBICLTD,116.81
ALICON,1033.9
ALKALI,101.73
ALKEM,5227.4
ALKYLAMINE,1725.7
ALLCARGO,42.21
ALLDIGI,967.2
ALMONDZ,32.23
ALOKINDS,18.47
ALPA,113.51
ALPHA,48.02
ALPHAETF,23.72
ALPHAGEO,407.2
ALPL30IETF,26.78
ALPSINDUS,2.15
AMBER,7078.5
AMBICAAGAR,29.96
AMBIKCO,1474.15
AMBUJACEM,493.2
AMDIND,54.72
AMIORG,1974.95
AMJLAND,55.47
AMNPLST,274.45
AMRUTANJAN,683.2
ANANDRATHI,4009.9
ANANTRAJ,825.0
ANDHRAPAP,89.2
ANDHRSUGAR,86.24
ANGELONE,2446.55
