,CLOSE_PRICE
20MICRONS,148.7
21STCENMGM,49.0
360ONE,679.8
3IINFOLTD,45.75
3MINDIA,30480.55
3PLAND,30.65
5PAISA,526.8
63MOONS,440.7
A2ZINFRA,14.3
AAATECH,99.6
AAKASH,10.2
AAREYDRUGS,44.2
AARON,281.15
AARTECH,170.8
AARTIDRUGS,476.1
AARTIIND,665.4
AARTIPHARM,455.9
AARTISURF,640.25
AARVEEDEN,29.95
AARVI,129.25
AAVAS,1414.8
ABAN,68.1
ABB,5770.75
ABBOTINDIA,27434.95
ABCAPITAL,182.1
ABFRL,225.4
ABMINTLLTD,55.6
ABSLAMC,516.3
ABSLBANETF,48.17
ABSLLIQUID,1000.0
ABSLNN50ET,62.42
ACC,2638.8
ACCELYA,1807.35
ACCURACY,11.0
ACE,1383.35
ACEINTEG,35.35
ACI,687.95
ACL,88.7
ACLGATI,112.7
ADANIENSOL,1069.6
ADANIENT,3226.55
ADANIGREEN,1929.1
ADANIPORTS,1325.45
ADANIPOWER,566.85
ADFFOODS,205.55
ADL,87.9
ADORWELD,1489.6
ADROITINFO,18.6
ADSL,154.2
ADVANIHOTR,158.0
ADVENZYMES,371.2
AEGISCHEM,433.7
AEROFLEX,137.45
AETHER,836.2
AFFLE,1095.1
AGARIND,932.6
AGI,834.2
AGRITECH,187.95
AGROPHOS,43.45
AGSTRA,78.3
AHL,309.5
AHLADA,115.95
AHLEAST,166.6
AHLUCONT,1136.0
AIAENG,3699.15
AIRAN,26.45
AIROLAM,153.65
AJANTPHARM,2091.1
AJMERA,733.6
AJOONI,5.9
AKASH,37.4
AKG,22.15
AKI,23.35
AKSHAR,3.4
AKSHARCHEM,312.5
AKSHOPTFBR,10.0
AKZOINDIA,2418.7
ALANKIT,19.35
ALBERTDAVD,1188.25
ALEMBICLTD,94.95
ALICON,917.0
ALKALI,114.35
ALKEM,5144.3
ALKYLAMINE,2138.25
ALLCARGO,82.2
ALLSEC,752.0
ALMONDZ,103.1
ALOKINDS,30.5
ALPA,99.25
ALPHAETF,23.89
ALPHAGEO,364.95
ALPL30IETF,269.86
ALPSINDUS,2.15
AMBER,3649.55
AMBICAAGAR,33.35
AMBIKCO,1561.55
AMBUJACEM,603.15
AMDIND,59.75
AMIORG,1120.2
AMJLAND,38.55
AMNPLST,172.55
AMRUTANJAN,665.5
ANANDRATHI,3948.5
ANANTRAJ,347.45
ANDHRAPAP,522.15
ANDHRSUGAR,106.9
ANGELONE,2736.15
ANIKINDS,46.6
ANKITMETAL,3.9
ANMOL,53.3
ANTGRAPHIC,1.95
ANUP,2813.9
ANURAS,936.65
APARINDS,6090.05
APCL,197.45
APCOTEXIND,449.05
APEX,215.1
APLAPOLLO,1582.65
APLLTD,999.25
APOLLO,120.45
APOLLOHOSP,6048.8
APOLLOPIPE,690.95
APOLLOTYRE,516.7
APOLSINHOT,1896.6
APTECHT,231.55
APTUS,344.55
ARCHIDPLY,89.85
ARCHIES,35.85
ARE&M,869.35
ARENTERP,45.35
ARIES,287.55
ARIHANTCAP,61.45
ARIHANTSUP,325.25
ARMANFIN,1888.95
AROGRANITE,50.9
ARROWGREEN,398.5
ARSHIYA,8.5
ARSSINFRA,24.2
ARTEMISMED,158.3
ARTNIRMAN,63.6
ARVEE,143.0
ARVIND,274.95
ARVINDFASN,460.65
ARVSMART,578.5
ASAHIINDIA,520.95
ASAHISONG,336.05
ASAL,669.25
ASALCBR,518.0
ASHAPURMIN,362.4
ASHIANA,311.5
ASHIMASYN,19.4
ASHOKA,163.55
ASHOKAMET,25.75
ASHOKLEY,171.05
ASIANENE,279.35
ASIANHOTNR,125.75
ASIANPAINT,2870.55
ASIANTILES,60.85
ASKAUTOLTD,280.2
ASMS,20.6
ASPINWALL,272.8
ASTEC,976.85
ASTERDM,444.4
ASTRAL,2100.25
ASTRAMICRO,619.85
ASTRAZEN,5423.15
ASTRON,26.3
ATALREAL,16.8
ATAM,166.8
ATFL,712.4
