,CLOSE_PRICE
20MICRONS,61.75
21STCENMGM,55.3
3IINFOLTD,100.6
3MINDIA,25323.35
3PLAND,13.45
5PAISA,416.7
63MOONS,170.0
A2ZINFRA,6.55
AAKASH,213.05
AAREYDRUGS,38.65
AARON,113.55
AARTIDRUGS,543.25
AARTIIND,980.1
AARTISURF,1123.3
AARVEEDEN,23.75
AARVI,70.55
AAVAS,2538.0
ABAN,49.45
ABB,2300.4
ABBOTINDIA,18859.5
ABCAPITAL,124.45
ABFRL,271.25
ABMINTLLTD,106.5
ABSLAMC,593.55
ABSLBANETF,36.9
ABSLNN50ET,43.34
ACC,2320.0
ACCELYA,1112.2
ACCURACY,192.4
ACE,224.7
ACRYSIL,868.25
ADANIENT,1722.25
ADANIGREEN,1390.1
ADANIPORTS,769.75
ADANIPOWER,103.55
ADANITRANS,1880.55
ADFFOODS,857.2
ADL,48.9
ADORWELD,691.4
ADROITINFO,15.8
ADSL,117.85
ADVANIHOTR,79.8
ADVENZYMES,351.7
AEGISCHEM,235.2
AFFLE,1066.9
AGARIND,443.45
AGRITECH,61.45
AGROPHOS,17.1
AHLADA,138.45
AHLEAST,189.75
AHLUCONT,417.95
AHLWEST,232.9
AIAENG,1884.85
AIRAN,24.6
AIROLAM,59.55
AJANTPHARM,2123.9
AJMERA,291.7
AJOONI,60.15
AJRINFRA,1.6
AKASH,202.05
AKG,36.6
AKSHARCHEM,438.2
AKSHOPTFBR,9.6
AKZOINDIA,2085.75
ALANKIT,15.45
ALBERTDAVD,580.95
ALEMBICLTD,104.45
ALICON,968.2
ALKALI,89.9
ALKEM,3457.55
ALKYLAMINE,3216.9
ALLCARGO,352.7
ALLSEC,517.3
ALMONDZ,126.4
ALOKINDS,22.65
ALPA,65.6
ALPHAGEO,344.15
ALPSINDUS,3.6
AMARAJABAT,639.1
AMBER,3214.15
AMBICAAGAR,17.0
AMBIKCO,1962.85
AMBUJACEM,377.55
AMDIND,33.2
AMIORG,975.55
AMJLAND,33.0
AMRUTANJAN,914.9
ANANTRAJ,75.35
ANDHRACEMT,15.7
ANDHRAPAP,229.5
ANDHRSUGAR,572.75
ANDREWYU,23.35
ANGELONE,1130.7
ANIKINDS,20.6
ANKITMETAL,7.1
ANMOL,181.4
ANSALAPI,12.6
ANSALHSG,9.85
ANUP,1016.45
ANURAS,822.55
APARINDS,676.9
APCL,310.6
APCOTEXIND,374.4
APEX,299.55
APLAPOLLO,942.8
APLLTD,809.65
APOLLO,111.75
APOLLOHOSP,5232.8
APOLLOPIPE,587.25
APOLLOTYRE,216.2
APOLSINHOT,847.2
APTECHT,373.05
APTUS,336.8
ARCHIDPLY,42.6
ARCHIES,17.3
ARENTERP,55.0
ARIES,140.75
ARIHANT,41.05
ARIHANTCAP,155.25
ARIHANTSUP,191.5
ARMANFIN,997.8
AROGRANITE,81.55
ARROWGREEN,137.55
ARSHIYA,34.65
ARSSINFRA,28.5
ARTEMISMED,37.05
ARTNIRMAN,169.3
ARVEE,81.2
ARVIND,116.05
ARVINDFASN,301.5
ARVSMART,215.4
ASAHIINDIA,460.05
ASAHISONG,281.7
ASAL,301.6
ASALCBR,521.0
ASHAPURMIN,101.35
