,CLOSE_PRICE
20MICRONS,217.56
21STCENMGM,66.89
360ONE,1024.25
3IINFOLTD,24.79
3MINDIA,29695.0
3PLAND,51.2
5PAISA,404.7
63MOONS,842.75
A2ZINFRA,17.78
AAATECH,88.88
AADHARHFC,441.3
AAKASH,8.13
AAREYDRUGS,50.16
AARON,390.55
AARTECH,56.13
AARTIDRUGS,473.65
AARTIIND,481.4
AARTIPHARM,931.65
AARTISURF,558.45
AARVEEDEN,132.37
AARVI,112.85
AAVAS,1802.6
ABAN,47.39
ABB,6041.5
ABBOTINDIA,31295.0
ABCAPITAL,225.09
ABDL,404.0
ABFRL,76.77
ABINFRA,140.2
ABMINTLLTD,47.15
ABREL,2137.5
ABSLAMC,761.65
ABSLBANETF,56.45
ABSLLIQUID,999.99
ABSLNN50ET,69.59
ABSLPSE,10.05
ACC,1877.0
ACCELYA,1409.8
ACCURACY,8.62
ACE,1266.2
ACEINTEG,25.38
ACI,628.35
ACL,67.64
ACLGATI,69.53
ACMESOLAR,253.7
ACUTAAS,1113.1
ADANIENSOL,866.0
ADANIENT,2489.4
ADANIGREEN,1004.8
ADANIPORTS,1436.2
ADANIPOWER,545.15
ADFFOODS,265.68
ADL,91.7
ADOR,968.55
ADROITINFO,11.26
ADSL,197.39
ADVANIHOTR,60.91
ADVENZYMES,307.6
AEGISLOG,799.5
AEGISVOPAK,266.46
AEROFLEX,163.04
AETHER,775.2
AFCONS,421.5
AFFLE,1802.8
AFFORDABLE,426.0
AFIL,7.93
AFSL,218.87
AGARIND,967.7
AGARWALEYE,345.5
AGI,841.15
AGIIL,837.55
AGRITECH,162.47
AGROPHOS,36.77
AGSTRA,5.38
AHLADA,65.64
AHLEAST,139.08
AHLUCONT,928.15
AIAENG,3533.7
AIIL,2525.0
AIRAN,28.34
AIROLAM,95.42
AJANTPHARM,2586.4
AJAXENGG,628.45
AJMERA,815.5
AJOONI,5.82
AKASH,28.81
AKG,14.41
AKI,7.9
AKSHAR,0.59
AKSHARCHEM,252.92
AKSHOPTFBR,9.29
AKUMS,554.05
AKZOINDIA,3308.2
ALANKIT,14.5
ALBERTDAVD,798.85
ALEMBICLTD,110.66
ALICON,908.4
ALIVUS,1023.5
ALKALI,103.53
ALKEM,4868.5
ALKYLAMINE,1936.4
