,CLOSE_PRICE
20MICRONS,71.0
21STCENMGM,25.3
3IINFOLTD,43.4
3MINDIA,22700.25
3PLAND,15.6
5PAISA,281.95
63MOONS,180.8
A2ZINFRA,11.3
AAKASH,14.8
AAREYDRUGS,35.05
AARON,120.45
AARTIDRUGS,434.15
AARTIIND,726.25
AARTISURF,723.15
AARVEEDEN,17.9
AARVI,87.65
AAVAS,1959.8
ABAN,44.4
ABB,2548.35
ABBOTINDIA,19478.2
ABCAPITAL,91.35
ABFRL,255.35
ABMINTLLTD,80.1
ABSLAMC,412.2
ABSLBANETF,34.6
ABSLNN50ET,39.68
ACC,2160.3
ACCELYA,900.5
ACCURACY,208.7
ACE,218.45
ACRYSIL,585.05
ADANIENT,2383.1
ADANIGREEN,2087.0
ADANIPORTS,724.45
ADANIPOWER,283.7
ADANITRANS,2889.15
ADFFOODS,708.85
ADL,57.9
ADORWELD,773.55
ADROITINFO,18.05
ADSL,133.4
ADVANIHOTR,67.95
ADVENZYMES,271.05
AEGISCHEM,207.0
AETHER,827.0
AFFLE,1035.65
AGARIND,443.05
AGI,202.45
AGRITECH,87.55
AGROPHOS,31.9
AGSTRA,79.2
AHLADA,91.85
AHLEAST,220.75
AHLUCONT,430.2
AIAENG,2316.75
AIRAN,19.9
AIROLAM,64.1
AJANTPHARM,1190.75
AJMERA,251.75
AJOONI,43.6
AJRINFRA,1.55
AKASH,39.75
AKG,49.6
AKSHAR,91.9
AKSHARCHEM,273.0
AKSHOPTFBR,9.45
AKZOINDIA,1919.4
ALANKIT,11.5
ALBERTDAVD,572.75
ALEMBICLTD,72.95
ALICON,665.7
ALKALI,81.0
ALKEM,3188.65
ALKYLAMINE,2652.6
ALLCARGO,278.8
ALLSEC,429.7
ALMONDZ,86.55
ALOKINDS,21.1
ALPA,60.8
ALPHAGEO,273.5
ALPSINDUS,2.4
AMARAJABAT,465.75
AMBER,2353.0
AMBICAAGAR,23.25
AMBIKCO,1607.3
AMBUJACEM,369.9
AMDIND,47.1
AMIORG,1044.0
AMJLAND,25.7
AMRUTANJAN,771.35
ANANDRATHI,649.45
ANANTRAJ,59.7
ANDHRACEMT,7.2
