,CLOSE_PRICE
20MICRONS,227.43
21STCENMGM,72.05
360ONE,927.3
3IINFOLTD,39.78
3MINDIA,39525.2
3PLAND,37.54
5PAISA,502.6
63MOONS,366.5
A2ZINFRA,21.06
AAATECH,103.2
AADHARHFC,438.1
AAKASH,15.68
AAREYDRUGS,48.93
AARON,265.3
AARTECH,190.0
AARTIDRUGS,535.6
AARTIIND,718.45
AARTIPHARM,615.2
AARTISURF,710.75
AARVEEDEN,30.44
AARVI,141.54
AAVAS,1794.85
ABAN,67.38
ABB,8715.8
ABBOTINDIA,27902.35
ABCAPITAL,237.38
ABDL,334.15
ABFRL,334.2
ABMINTLLTD,65.0
ABSLAMC,655.7
ABSLBANETF,53.7
ABSLLIQUID,1000.0
ABSLNN50ET,75.6
ABSLPSE,10.91
ACC,2725.5
ACCELYA,1744.85
ACCURACY,12.11
ACE,1525.65
ACEINTEG,33.9
ACI,736.25
ACL,98.14
ACLGATI,100.39
ADANIENSOL,1025.85
ADANIENT,3144.25
ADANIGREEN,1766.8
ADANIPORTS,1503.65
ADANIPOWER,712.25
ADFFOODS,235.72
ADL,91.9
ADORWELD,1402.45
ADROITINFO,17.48
ADSL,223.82
ADVANIHOTR,70.63
ADVENZYMES,398.7
AEGISLOG,890.8
AEROFLEX,159.2
AETHER,926.9
AFFLE,1353.4
AFIL,110.09
AGARIND,1230.45
AGI,856.9
AGRITECH,197.39
AGROPHOS,47.04
AGSTRA,78.92
AHL,491.1
AHLADA,123.64
AHLEAST,143.61
AHLUCONT,1306.5
AIAENG,4248.45
AIIL,1141.4
AIRAN,29.24
AIROLAM,138.99
AJANTPHARM,2219.75
AJMERA,716.5
AJOONI,6.46
AKASH,37.37
AKG,21.77
AKI,24.78
AKSHAR,2.57
AKSHARCHEM,319.2
AKSHOPTFBR,8.4
AKZOINDIA,2883.55
ALANKIT,23.76
ALBERTDAVD,1315.05
ALEMBICLTD,115.78
ALICON,1287.3
ALKALI,149.35
ALKEM,4981.35
ALKYLAMINE,2145.65
ALLCARGO,64.17
ALLSEC,1151.0
ALMONDZ,132.38
ALOKINDS,28.23
ALPA,86.24
ALPHA,55.59
ALPHAETF,28.44
ALPHAGEO,394.0
ALPL30IETF,29.11
ALPSINDUS,4.24
AMBER,4499.35
AMBICAAGAR,26.39
AMBIKCO,1651.1
AMBUJACEM,682.1
AMDIND,76.69
AMIORG,1390.65
AMJLAND,48.35
AMNPLST,288.75
AMRUTANJAN,790.6
ANANDRATHI,3899.55
ANANTRAJ,490.6
ANDHRAPAP,620.35
ANDHRSUGAR,117.05
ANGELONE,2343.0
ANIKINDS,51.65
ANKITMETAL,3.85
ANMOL,35.59
ANSALAPI,9.72
ANTGRAPHIC,1.51
ANUP,1799.0
ANURAS,764.9
APARINDS,8596.25
APCL,202.49
APCOTEXIND,456.15
APEX,226.24
APLAPOLLO,1580.75
APLLTD,961.65
APOLLO,104.47
APOLLOHOSP,6225.05
APOLLOPIPE,632.6
APOLLOTYRE,528.5
APOLSINHOT,1505.3
APTECHT,220.45
APTUS,344.1
ARCHIDPLY,100.2
ARCHIES,25.95
ARE&M,1688.5
ARENTERP,47.68
ARIES,276.85
ARIHANTCAP,72.24
ARIHANTSUP,364.8
ARMANFIN,2097.05
AROGRANITE,60.13
ARROWGREEN,574.7
ARSHIYA,5.22
ARSSINFRA,23.65
ARTEMISMED,183.88
ARTNIRMAN,64.58
ARVEE,186.67
ARVIND,385.65
ARVINDFASN,534.35
ARVSMART,727.75
ASAHIINDIA,688.5
ASAHISONG,463.3
ASAL,1037.0
ASALCBR,686.65
ASHAPURMIN,419.35
ASHIANA,419.95
ASHIMASYN,44.69
ASHOKA,232.65
ASHOKAMET,20.32
ASHOKLEY,227.11
ASIANENE,321.05
ASIANHOTNR,162.2
ASIANPAINT,2934.9
ASIANTILES,82.92
ASKAUTOLTD,395.25
ASMS,21.58
ASPINWALL,276.7
ASTEC,1451.5
ASTERDM,345.1
ASTRAL,2369.55
ASTRAMICRO,944.55
ASTRAZEN,7128.85
ASTRON,25.75
ATALREAL,7.33
ATAM,196.7
ATFL,790.6
ATGL,896.45
ATL,51.51
ATLANTAA,41.25
ATUL,6744.65
ATULAUTO,794.15
AUBANK,673.45
AURIONPRO,1533.3
AUROPHARMA,1254.65
AURUM,158.0
AUSOMENT,96.34
AUTOAXLES,2074.35
AUTOBEES,257.8
AUTOIETF,25.79
AUTOIND,138.35
AVADHSUGAR,652.6
AVALON,540.2
AVANTIFEED,607.5
AVG,483.35
AVONMORE,13.22
AVROIND,117.09
AVTNPL,86.88
AWFIS,553.65
AWHCL,536.0
AWL,333.9
AXISBANK,1280.9
AXISBNKETF,542.34
AXISBPSETF,11.84
