,CLOSE_PRICE
20MICRONS,252.7
21STCENMGM,116.73
360ONE,1036.45
3IINFOLTD,27.83
3MINDIA,35463.55
3PLAND,42.27
5PAISA,504.05
63MOONS,589.7
A2ZINFRA,17.89
AAATECH,121.56
AADHARHFC,449.65
AAKASH,11.8
AAREYDRUGS,62.78
AARON,273.15
AARTECH,60.88
AARTIDRUGS,487.3
AARTIIND,510.8
AARTIPHARM,660.7
AARTISURF,734.25
AARVEEDEN,56.2
AARVI,148.15
AAVAS,1679.3
ABAN,64.37
ABB,7132.85
ABBOTINDIA,29329.2
ABCAPITAL,201.99
ABDL,331.3
ABFRL,302.3
ABGSEC,103.39
ABMINTLLTD,85.8
ABREL,2773.95
ABSLAMC,822.6
ABSLBANETF,52.86
ABSLLIQUID,999.99
ABSLNN50ET,72.38
ABSLPSE,10.21
ACC,2319.4
ACCELYA,1623.2
ACCURACY,10.06
ACE,1303.35
ACEINTEG,32.96
ACI,684.0
ACL,87.33
ACLGATI,98.85
ADANIENSOL,1015.0
ADANIENT,2915.55
ADANIGREEN,1644.25
ADANIPORTS,1329.35
ADANIPOWER,603.45
ADFFOODS,302.65
ADL,96.09
ADORWELD,1315.45
ADROITINFO,20.45
ADSL,271.95
ADVANIHOTR,69.47
ADVENZYMES,493.2
AEGISLOG,801.9
AEROFLEX,191.56
AETHER,851.75
AFCONS,493.7
AFFLE,1562.85
AFFORDABLE,705.55
AFIL,97.46
AGARIND,1082.1
AGI,921.9
AGIIL,1338.7
AGRITECH,198.62
AGROPHOS,43.31
AGSTRA,93.39
AHL,403.95
AHLADA,99.29
AHLEAST,169.99
AHLUCONT,1064.0
AIAENG,3759.3
AIIL,1676.25
AIRAN,35.16
AIROLAM,116.63
AJANTPHARM,3111.7
AJMERA,963.35
AJOONI,7.85
AKASH,35.21
AKG,19.07
AKI,19.06
AKSHAR,0.83
AKSHARCHEM,318.2
AKSHOPTFBR,10.28
AKUMS,832.7
AKZOINDIA,4258.7
ALANKIT,22.2
ALBERTDAVD,1369.7
ALEMBICLTD,134.19
ALICON,1296.3
ALKALI,116.0
ALKEM,5670.35
ALKYLAMINE,2129.0
ALLCARGO,55.97
ALLDIGI,1010.35
ALMONDZ,30.18
ALOKINDS,22.35
ALPA,111.64
ALPHA,53.56
ALPHAETF,26.19
ALPHAGEO,406.35
ALPL30IETF,29.19
ALPSINDUS,4.22
AMBER,6063.1
AMBICAAGAR,28.57
AMBIKCO,1605.25
AMBUJACEM,572.0
AMDIND,64.59
AMIORG,2041.15
AMJLAND,50.86
AMNPLST,287.15
AMRUTANJAN,743.65
ANANDRATHI,4044.95
ANANTRAJ,749.5
ANDHRAPAP,99.65
ANDHRSUGAR,105.02
ANGELONE,2915.95
ANIKINDS,100.0
ANKITMETAL,3.75
ANMOL,31.52
ANSALAPI,11.01
ANTGRAPHIC,1.77
ANUP,3273.35
ANURAS,733.5
APARINDS,9438.7
APCL,168.43
APCOTEXIND,389.8
APEX,260.85
APLAPOLLO,1516.5
APLLTD,1127.25
APOLLO,99.84
APOLLOHOSP,6966.3
APOLLOPIPE,522.25
APOLLOTYRE,482.45
APOLSINHOT,1828.35
APTECHT,175.6
APTUS,344.15
ARCHIDPLY,120.46
ARCHIES,26.72
ARE&M,1319.55
ARENTERP,45.26
ARIES,262.6
ARIHANTCAP,112.49
ARIHANTSUP,342.2
ARKADE,142.74
ARMANFIN,1455.0
AROGRANITE,52.42
ARROWGREEN,897.45
ARSHIYA,3.48
ARSSINFRA,17.77
ARTEMISMED,274.65
ARTNIRMAN,56.01
ARVEE,174.16
ARVIND,368.35
ARVINDFASN,567.7
ARVSMART,932.75
ASAHIINDIA,708.85
ASAHISONG,445.3
ASAL,686.55
ASALCBR,931.4
ASHAPURMIN,254.26
ASHIANA,310.3
ASHIMASYN,31.61
ASHOKA,240.62
ASHOKAMET,26.7
ASHOKLEY,211.84
