,CLOSE_PRICE
20MICRONS,90.6
21STCENMGM,22.85
360ONE,452.0
3IINFOLTD,34.95
3MINDIA,27508.0
3PLAND,19.55
4THDIM,18.6
5PAISA,357.75
63MOONS,207.5
A2ZINFRA,7.5
AAATECH,55.55
AAKASH,5.95
AAREYDRUGS,32.65
AARON,220.9
AARTIDRUGS,449.9
AARTIIND,508.1
AARTIPHARM,388.2
AARTISURF,620.85
AARVEEDEN,20.05
AARVI,138.2
AAVAS,1463.2
ABAN,39.4
ABB,4285.35
ABBOTINDIA,22841.15
ABCAPITAL,181.25
ABFRL,208.3
ABMINTLLTD,48.5
ABSLAMC,364.15
ABSLBANETF,43.89
ABSLLIQUID,999.99
ABSLNN50ET,44.02
ACC,1792.3
ACCELYA,1337.7
ACCURACY,9.95
ACE,469.9
ACEINTEG,37.5
ACI,533.4
ACL,85.5
ADANIENT,2295.6
ADANIGREEN,968.45
ADANIPORTS,724.4
ADANIPOWER,250.6
ADANITRANS,770.75
ADFFOODS,934.5
ADL,75.0
ADORWELD,1121.9
ADROITINFO,18.6
ADSL,101.35
ADVANIHOTR,88.1
ADVENZYMES,273.65
AEGISCHEM,322.8
AETHER,1088.5
AFFLE,1095.7
AGARIND,607.7
AGI,570.95
AGRITECH,105.05
AGROPHOS,35.35
AGSTRA,56.75
AHL,304.85
AHLADA,110.7
AHLEAST,119.75
AHLUCONT,607.35
AIAENG,3319.05
AIRAN,17.2
AIROLAM,81.2
AJANTPHARM,1472.0
AJMERA,364.95
AJOONI,4.4
AJRINFRA,0.6
AKASH,28.35
AKG,31.15
AKI,21.35
AKSHAR,62.5
AKSHARCHEM,236.4
AKSHOPTFBR,8.35
AKZOINDIA,2434.25
ALANKIT,9.4
ALBERTDAVD,591.1
ALEMBICLTD,72.75
ALICON,743.95
ALKALI,112.15
ALKEM,3401.5
ALKYLAMINE,2646.65
ALLCARGO,281.1
ALLSEC,532.15
ALMONDZ,74.15
ALOKINDS,18.05
ALPA,68.15
ALPHAGEO,270.15
AMARAJABAT,645.3
AMBER,2228.25
AMBICAAGAR,37.0
AMBIKCO,1630.8
AMBUJACEM,432.05
AMDIND,69.1
AMIORG,1269.7
AMJLAND,25.7
AMRUTANJAN,633.65
ANANDRATHI,868.25
ANANTRAJ,166.7
ANDHRAPAP,407.1
ANDHRSUGAR,112.2
ANDREWYU,23.65
ANGELONE,1678.0
ANIKINDS,32.05
ANKITMETAL,3.25
ANMOL,237.6
ANSALAPI,8.9
ANTGRAPHIC,0.65
ANUP,1619.35
ANURAS,1028.65
APARINDS,3350.85
APCL,181.65
APCOTEXIND,553.4
APEX,215.2
APLAPOLLO,1309.95
APLLTD,634.4
APOLLO,52.7
APOLLOHOSP,5036.95
APOLLOPIPE,709.1
APOLLOTYRE,403.75
APOLSINHOT,1381.85
APTECHT,499.35
APTUS,245.2
ARCHIDPLY,78.0
ARCHIES,27.1
ARENTERP,34.55
ARIES,164.05
ARIHANTCAP,38.45
ARIHANTSUP,173.9
ARMANFIN,2073.45
AROGRANITE,43.8
ARROWGREEN,330.6
ARSHIYA,4.8
ARSSINFRA,19.75
ARTEMISMED,128.85
ARTNIRMAN,46.5
ARVEE,122.3
ARVIND,135.65
ARVINDFASN,327.5
ARVSMART,338.55
ASAHIINDIA,482.7
ASAHISONG,222.15
ASAL,328.55
ASALCBR,394.75
ASHAPURMIN,132.4
ASHIANA,188.45
ASHIMASYN,14.95
ASHOKA,78.65
ASHOKLEY,164.25
ASIANENE,125.1
ASIANHOTNR,182.95
ASIANPAINT,3308.15
ASIANTILES,48.8
ASMS,10.7
ASPINWALL,245.95
ASTEC,1329.3
ASTERDM,280.05
ASTRAL,1942.7
ASTRAMICRO,364.25
ASTRAZEN,3715.6
ASTRON,26.3
ATALREAL,121.35
ATAM,225.15
ATFL,826.1
ATGL,644.0
ATLANTA,14.45
ATUL,7031.0
ATULAUTO,347.2
AUBANK,745.4
AURIONPRO,978.3
AUROPHARMA,721.35
AURUM,122.15
AUSOMENT,62.05
AUTOAXLES,2254.2
AUTOBEES,148.48
AUTOIND,68.35
AVADHSUGAR,536.1
AVALON,517.05
AVANTIFEED,389.65
AVG,276.5
AVONMORE,74.9
AVROIND,130.0
AVTNPL,92.8
AWHCL,336.1
AWL,406.9
AXISBANK,960.55
AXISBNKETF,442.74
AXISBPSETF,11.03
AXISCADES,453.1
AXISCETF,82.91
AXISGOLD,50.19
AXISHCETF,87.78
AXISILVER,70.99
AXISNIFTY,199.37
AXISTECETF,296.9
AXITA,26.55
AXSENSEX,62.9
AYMSYNTEX,75.8
BAFNAPH,106.75
BAGFILMS,4.35
BAIDFIN,39.95
BAJAJ-AUTO,4606.9
BAJAJCON,190.2
BAJAJELEC,1230.35
BAJAJFINSV,1507.55
BAJAJHCARE,303.8
BAJAJHIND,15.7
BAJAJHLDNG,6961.0
BAJFINANCE,6998.7
BALAJITELE,42.85
BALAMINES,2252.85
BALAXI,519.95
BALKRISHNA,26.45
BALKRISIND,2389.15
BALMLAWRIE,136.9
BALPHARMA,95.2
BALRAMCHIN,387.95
BANARBEADS,83.2
BANARISUG,2724.0
BANCOINDIA,304.55
BANDHANBNK,236.55
BANG,39.3
BANKA,69.5
BANKBARODA,190.75
BANKBEES,443.46
BANKINDIA,70.95
BANSWRAS,166.3
BARBEQUE,670.35
BASF,2571.9
BASML,47.35
BATAINDIA,1643.3
BAYERCROP,4312.05
BBETF0432,1077.95
BBL,2969.8
BBOX,125.1
BBTC,1026.25
BBTCL,232.25
BCG,29.85
BCLIND,508.5
BCONCEPTS,330.55
BDL,1093.4
BEARDSELL,29.05
BECTORFOOD,825.85
BEDMUTHA,56.05
BEL,121.4
BEML,1572.8
BEPL,130.95
BERGEPAINT,677.0
BESTAGRO,1142.65
BFINVEST,376.45
BFUTILITIE,365.4
BGLOBAL,2.4
BGRENERGY,54.6
BHAGCHEM,1533.5
BHAGERIA,147.1
BHAGYANGR,54.85
BHANDARI,4.85
BHARATFORG,815.3
BHARATGEAR,121.5
BHARATRAS,9705.1
BHARATWIRE,175.55
BHARTIARTL,851.95
BHEL,83.8
BIGBLOC,163.4
BIKAJI,419.5
BIL,222.1
BINANIIND,18.2
BIOCON,239.95
BIOFILCHEM,44.05
BIRLACABLE,168.4
BIRLACORPN,1241.3
BIRLAMONEY,55.45
BIRLATYRE,4.4
BKMINDST,0.85
BLAL,163.55
BLBLIMITED,19.05
BLISSGVS,81.35
BLKASHYAP,43.3
BLS,193.7
BLUECHIP,0.7
BLUECOAST,7.2
BLUEDART,7153.7
BLUESTARCO,786.5
BODALCHEM,72.45
BOHRAIND,82.05
BOMDYEING,104.9
BOROLTD,427.5
BORORENEW,509.3
BOSCHLTD,18588.4
BPCL,358.3
BPL,58.9
BRIGADE,577.8
BRITANNIA,5009.2
BRNL,32.75
BROOKS,74.2
BSE,596.75
BSHSL,281.9
BSL,194.7
BSLGOLDETF,52.62
BSLNIFTY,21.11
BSLSENETFG,61.32
BSOFT,340.15
BTML,144.0
BURNPUR,4.4
BUTTERFLY,1136.05
BVCL,34.5
BYKE,39.8
CALSOFT,14.55
CAMLINFINE,166.7
CAMPUS,313.35
CAMS,2149.75
CANBK,293.75
CANFINHOME,742.4
CANTABIL,1019.25
CAPACITE,201.75
CAPLIPOINT,797.1
CAPTRUST,73.95
CARBORUNIV,1176.7
