,CLOSE_PRICE
20MICRONS,225.91
21STCENMGM,85.5
360ONE,1183.7
3IINFOLTD,28.4
3MINDIA,29634.2
3PLAND,58.16
5PAISA,424.9
63MOONS,819.75
A2ZINFRA,22.83
AAATECH,100.14
AADHARHFC,397.25
AAKASH,10.24
AAREYDRUGS,50.82
AARON,348.85
AARTECH,72.72
AARTIDRUGS,420.9
AARTIIND,442.7
AARTIPHARM,657.65
AARTISURF,614.95
AARVEEDEN,138.0
AARVI,129.74
AAVAS,1638.25
ABAN,56.71
ABB,6527.5
ABBOTINDIA,27929.7
ABCAPITAL,177.18
ABDL,403.7
ABFRL,274.7
ABGSEC,104.48
ABINFRA,90.03
ABMINTLLTD,62.4
ABREL,2034.3
ABSLAMC,758.3
ABSLBANETF,49.24
ABSLLIQUID,1000.0
ABSLNN50ET,67.68
ABSLPSE,9.44
ACC,2014.9
ACCELYA,1510.85
ACCURACY,9.96
ACE,1291.7
ACEINTEG,29.34
ACI,600.15
ACL,77.3
ACLGATI,79.71
ACMESOLAR,221.4
ADANIENSOL,805.15
ADANIENT,2399.8
ADANIGREEN,1078.2
ADANIPORTS,1163.5
ADANIPOWER,551.3
ADFFOODS,270.45
ADL,88.45
ADORWELD,1114.3
ADROITINFO,19.2
ADSL,245.63
ADVANIHOTR,65.14
ADVENZYMES,339.85
AEGISLOG,801.0
AEROFLEX,243.7
AETHER,821.65
AFCONS,520.2
AFFLE,1578.7
AFFORDABLE,610.35
AFIL,83.37
AGARIND,1171.2
AGI,990.55
AGIIL,1669.1
AGRITECH,186.28
AGROPHOS,38.06
AGSTRA,63.12
AHL,219.25
AHLADA,91.62
AHLEAST,152.86
AHLUCONT,847.35
AIAENG,3501.5
AIIL,1750.8
AIRAN,33.88
AIROLAM,125.15
AJANTPHARM,2864.95
AJMERA,997.4
AJOONI,7.63
AKASH,31.25
AKG,17.93
AKI,11.16
AKSHAR,0.73
AKSHARCHEM,286.4
AKSHOPTFBR,10.47
AKUMS,632.7
AKZOINDIA,3840.65
ALANKIT,20.56
ALBERTDAVD,1215.85
ALEMBICLTD,125.49
ALICON,949.6
ALKALI,104.73
ALKEM,5255.85
ALKYLAMINE,1754.85
ALLCARGO,45.19
ALLDIGI,1059.85
ALMONDZ,32.67
ALOKINDS,20.0
ALPA,121.4
ALPHA,50.24
ALPHAETF,24.6
ALPHAGEO,424.9
ALPL30IETF,26.74
ALPSINDUS,2.44
AMBER,6757.5
AMBICAAGAR,30.23
AMBIKCO,1581.05
AMBUJACEM,536.25
AMDIND,58.85
AMIORG,2004.35
AMJLAND,61.23
AMNPLST,274.1
AMRUTANJAN,695.25
ANANDRATHI,3972.0
ANANTRAJ,899.5
ANDHRAPAP,89.66
ANDHRSUGAR,89.61
ANGELONE,2454.5
ANIKINDS,102.36
ANMOL,23.34
ANTGRAPHIC,1.35
ANUHPHR,204.75
ANUP,3100.4
ANURAS,690.55
APARINDS,10078.85
APCL,159.31
APCOTEXIND,363.2
APEX,239.4
APLAPOLLO,1570.15
APLLTD,1052.75
APOLLO,131.38
APOLLOHOSP,6828.1
APOLLOPIPE,433.3
APOLLOTYRE,452.8
APOLSINHOT,1758.85
APTECHT,174.76
APTUS,291.25
ARCHIDPLY,100.73
ARCHIES,23.44
ARE&M,1077.7
ARENTERP,48.5
ARIES,271.8
ARIHANTCAP,90.13
ARIHANTSUP,521.8
ARKADE,161.71
ARMANFIN,1338.35
AROGRANITE,46.82
ARROWGREEN,801.9
ARSHIYA,3.14
ARTEMISMED,319.3
ARTNIRMAN,51.3
ARVEE,161.19
ARVIND,401.15
ARVINDFASN,505.0
ARVSMART,802.5
ASAHIINDIA,649.95
ASAHISONG,319.3
ASAL,637.45
ASALCBR,1152.25
ASHAPURMIN,519.6
ASHIANA,342.95
ASHIMASYN,31.16
ASHOKA,290.35
ASHOKAMET,21.62
ASHOKLEY,206.59
ASIANENE,361.45
ASIANHOTNR,299.2
ASIANPAINT,2261.0
ASIANTILES,63.69
ASKAUTOLTD,461.8
ASMS,21.0
ASPINWALL,298.0
ASTEC,1016.9
ASTERDM,497.6
ASTRAL,1501.45
ASTRAMICRO,775.65
ASTRAZEN,6920.3
ASTRON,19.22
ATALREAL,13.5
ATAM,132.53
ATFL,917.85
ATGL,673.15
ATL,34.79
ATLANTAA,44.49
ATLASCYCLE,150.82
ATUL,6692.2
ATULAUTO,518.3
AUBANK,597.6
AURIONPRO,1606.45
AUROPHARMA,1178.35
AURUM,238.01
AUSOMENT,101.39
AUTOAXLES,1763.3
AUTOBEES,233.02
AUTOIETF,23.3
AUTOIND,100.29
AVADHSUGAR,438.15
AVALON,822.6
AVANTEL,139.8
AVANTIFEED,654.45
AVG,326.05
AVL,504.5
AVONMORE,24.42
AVROIND,230.52
AVTNPL,71.57
AWFIS,701.05
AWHCL,608.45
AWL,268.05
AXISBANK,991.05
AXISBNKETF,496.79
AXISBPSETF,12.22
AXISCADES,742.9
AXISCETF,112.94
AXISGOLD,67.09
AXISHCETF,142.63
AXISILVER,91.37
AXISNIFTY,252.33
AXISTECETF,448.9
AXITA,10.83
AXSENSEX,78.06
AYMSYNTEX,249.32
AZAD,1693.25
BAFNAPH,80.52
BAGFILMS,8.94
BAIDFIN,13.51
BAJAJ-AUTO,8581.4
BAJAJCON,188.24
BAJAJELEC,720.65
BAJAJFINSV,1680.65
BAJAJHCARE,668.05
BAJAJHFL,113.42
BAJAJHIND,29.38
BAJAJHLDNG,10802.1
BAJEL,253.1
BAJFINANCE,7182.1
BALAJEE,69.56
BALAJITELE,73.03
BALAMINES,1711.0
BALAXI,73.1
BALKRISHNA,23.43
BALKRISIND,2705.85
BALMLAWRIE,205.09
BALPHARMA,115.85
BALRAMCHIN,496.05
BALUFORGE,705.95
BANARBEADS,137.48
BANARISUG,3652.55
BANCOINDIA,461.75
BANDHANBNK,151.24
BANG,64.63
BANKA,93.57
BANKBARODA,228.0
BANKBEES,497.32
BANKBETF,48.93
BANKETF,489.95
BANKETFADD,49.24
BANKIETF,49.26
BANKINDIA,100.23
BANKNIFTY1,498.36
BANKPSU,62.89
BANSALWIRE,404.3
BANSWRAS,138.61
BARBEQUE,397.3
BASF,4990.0
BASML,48.81
BATAINDIA,1310.8
BAYERCROP,5106.3
BBETF0432,1214.75
BBL,3309.9
BBNPNBETF,48.5
BBNPPGOLD,78.1
BBOX,614.8
BBTC,2003.3
BBTCL,199.26
BCLIND,49.83
BCONCEPTS,468.1
BDL,1276.25
BEARDSELL,39.29
BECTORFOOD,1489.55
BEDMUTHA,209.45
BEL,282.15
BEML,3635.0
BEPL,123.33
BERGEPAINT,468.8
BESTAGRO,556.4
BFINVEST,589.15
BFSI,23.17
BFUTILITIE,846.75
BGRENERGY,131.36
BHAGCHEM,300.8
BHAGERIA,178.43
BHAGYANGR,94.49
BHANDARI,6.67
BHARATFORG,1207.5
