,CLOSE_PRICE
20MICRONS,96.35
21STCENMGM,23.75
3IINFOLTD,43.75
3MINDIA,24086.55
3PLAND,16.75
4THDIM,51.7
5PAISA,333.05
63MOONS,162.25
A2ZINFRA,10.35
AAKASH,13.0
AAREYDRUGS,39.0
AARON,156.35
AARTIDRUGS,463.9
AARTIIND,733.85
AARTISURF,759.2
AARVEEDEN,25.35
AARVI,143.75
AAVAS,2161.5
ABAN,50.1
ABB,2996.2
ABBOTINDIA,19181.1
ABCAPITAL,109.7
ABFRL,338.15
ABMINTLLTD,76.25
ABSLAMC,453.75
ABSLBANETF,37.7
ABSLNN50ET,43.08
ACC,2374.05
ACCELYA,1120.15
ACCURACY,259.8
ACE,273.75
ACRYSIL,589.5
ADANIENT,3470.7
ADANIGREEN,2004.05
ADANIPORTS,816.4
ADANIPOWER,369.45
ADANITRANS,3406.4
ADFFOODS,716.65
ADL,70.6
ADORWELD,913.35
ADROITINFO,17.35
ADSL,103.15
ADVANIHOTR,80.7
ADVENZYMES,271.9
AEGISCHEM,262.8
AETHER,912.65
AFFLE,1209.6
AGARIND,623.2
AGI,315.25
AGRITECH,89.8
AGROPHOS,35.2
AGSTRA,79.3
AHLADA,99.85
AHLEAST,331.3
AHLUCONT,420.9
AIAENG,2505.7
AIRAN,17.5
AIROLAM,113.8
AJANTPHARM,1272.95
AJMERA,250.15
AJOONI,38.45
AJRINFRA,1.7
AKASH,37.2
AKG,63.15
AKSHAR,91.35
AKSHARCHEM,329.15
AKSHOPTFBR,11.45
AKZOINDIA,2190.1
ALANKIT,11.55
ALBERTDAVD,555.55
ALEMBICLTD,61.7
ALICON,868.25
ALKALI,92.0
ALKEM,3259.85
ALKYLAMINE,2882.5
ALLCARGO,422.15
ALLSEC,496.5
ALMONDZ,82.35
ALOKINDS,17.9
ALPA,58.8
ALPHAGEO,286.5
ALPSINDUS,2.65
AMARAJABAT,483.55
AMBER,2296.85
AMBICAAGAR,30.9
AMBIKCO,1598.55
AMBUJACEM,506.35
AMDIND,78.55
AMIORG,904.3
AMJLAND,27.2
AMRUTANJAN,715.6
ANANDRATHI,660.1
ANANTRAJ,83.05
ANDHRAPAP,438.6
ANDHRSUGAR,137.15
ANDREWYU,20.25
ANGELONE,1329.3
ANIKINDS,36.8
ANKITMETAL,5.95
ANMOL,170.8
ANSALAPI,21.8
ANSALHSG,5.8
ANTGRAPHIC,0.9
ANUP,817.85
ANURAS,746.2
APARINDS,1227.2
APCL,236.8
APCOTEXIND,565.45
APEX,292.25
APLAPOLLO,1017.85
APLLTD,599.8
APOLLO,179.05
APOLLOHOSP,4391.7
APOLLOPIPE,527.55
APOLLOTYRE,270.75
APOLSINHOT,1167.9
APTECHT,236.35
APTUS,303.65
ARCHIDPLY,80.3
ARCHIES,19.2
ARENTERP,31.75
ARIES,130.2
ARIHANTCAP,72.9
ARIHANTSUP,220.2
ARMANFIN,1319.2
AROGRANITE,46.65
ARROWGREEN,95.3
ARSHIYA,13.75
ARSSINFRA,20.9
ARTEMISMED,61.3
ARTNIRMAN,108.55
ARVEE,91.8
ARVIND,95.9
ARVINDFASN,320.15
ARVSMART,238.65
ASAHIINDIA,632.25
ASAHISONG,298.7
ASAL,403.6
ASALCBR,516.3
ASHAPURMIN,89.35
ASHIANA,159.0
ASHIMASYN,14.45
ASHOKA,78.5
ASHOKLEY,149.35
ASIANENE,73.6
ASIANHOTNR,82.3
ASIANPAINT,3384.8
ASIANTILES,54.2
ASPINWALL,249.05
ASTEC,1838.7
ASTERDM,254.9
ASTRAL,2155.65
ASTRAMICRO,302.1
ASTRAZEN,3002.25
ASTRON,34.25
ATFL,749.65
ATGL,3372.25
ATLANTA,16.65
ATUL,8923.65
ATULAUTO,184.3
AUBANK,600.4
AURIONPRO,448.7
AUROPHARMA,509.7
AURUM,132.85
AUSOMENT,71.35
AUTOAXLES,1882.95
AUTOBEES,126.26
AUTOIND,92.15
AVADHSUGAR,499.0
AVANTIFEED,466.05
AVROIND,124.1
AVTNPL,99.75
AWHCL,295.65
AWL,745.85
AXISBANK,719.0
AXISBNKETF,380.99
AXISBPSETF,10.44
AXISCADES,166.65
AXISCETF,78.56
AXISGOLD,42.92
AXISHCETF,81.92
AXISILVER,56.99
AXISNIFTY,178.93
AXISTECETF,275.58
