,CLOSE_PRICE
20MICRONS,74.1
21STCENMGM,33.3
3IINFOLTD,59.05
3MINDIA,22156.3
3PLAND,16.5
5PAISA,349.9
63MOONS,228.75
A2ZINFRA,9.2
AAKASH,28.35
AAREYDRUGS,42.8
AARON,119.2
AARTIDRUGS,493.25
AARTIIND,935.3
AARTISURF,827.45
AARVEEDEN,26.25
AARVI,88.85
AAVAS,3017.2
ABAN,47.2
ABB,2101.1
ABBOTINDIA,16292.3
ABCAPITAL,107.6
ABFRL,268.3
ABMINTLLTD,95.25
ABSLAMC,510.15
ABSLBANETF,37.62
ABSLNN50ET,41.06
ACC,2184.9
ACCELYA,977.45
ACCURACY,247.05
ACE,225.1
ACRYSIL,710.7
ADANIENT,1685.2
ADANIGREEN,1955.9
ADANIPORTS,711.1
ADANIPOWER,120.15
ADANITRANS,1895.9
ADFFOODS,746.45
ADL,47.3
ADORWELD,654.9
ADROITINFO,8.95
ADSL,109.9
ADVANIHOTR,94.15
ADVENZYMES,288.75
AEGISCHEM,211.8
AFFLE,1227.55
AGARIND,511.85
AGRITECH,80.6
AGROPHOS,21.7
AGSTRA,113.4
AHLADA,114.15
AHLEAST,201.45
AHLUCONT,385.6
AHLWEST,167.2
AIAENG,1772.65
AIRAN,21.6
AIROLAM,67.9
AJANTPHARM,1919.05
AJMERA,372.15
AJOONI,62.6
AJRINFRA,2.2
AKASH,194.8
AKG,40.3
AKSHARCHEM,370.65
AKSHOPTFBR,11.8
AKZOINDIA,1928.25
ALANKIT,15.25
ALBERTDAVD,545.55
ALEMBICLTD,88.3
ALICON,801.65
ALKALI,89.45
ALKEM,3320.7
ALKYLAMINE,3012.05
ALLCARGO,345.1
ALLSEC,540.85
ALMONDZ,102.2
ALOKINDS,25.85
ALPA,71.55
ALPHAGEO,301.7
ALPSINDUS,3.05
AMARAJABAT,594.0
AMBER,3267.8
AMBICAAGAR,27.8
AMBIKCO,2495.85
AMBUJACEM,338.55
AMDIND,49.3
AMIORG,889.85
AMJLAND,29.75
AMRUTANJAN,780.75
