,CLOSE_PRICE
20MICRONS,210.51
21STCENMGM,46.88
360ONE,1185.7
3IINFOLTD,20.05
3MINDIA,29735.0
3PLAND,42.82
5PAISA,312.4
63MOONS,786.0
A2ZINFRA,16.62
AAATECH,90.04
AADHARHFC,522.6
AAKASH,9.16
AAREYDRUGS,88.0
AARON,189.4
AARTECH,62.93
AARTIDRUGS,493.95
AARTIIND,381.7
AARTIPHARM,832.4
AARTISURF,464.6
AARVI,118.74
AAVAS,1688.0
ABAN,41.16
ABB,5181.0
ABBOTINDIA,29930.0
ABCAPITAL,306.15
ABCOTS,423.0
ABDL,618.35
ABFRL,81.93
ABGSEC,111.0
ABINFRA,18.41
ABLBL,138.44
ABMINTLLTD,53.24
ABREL,1682.4
ABSLAMC,830.6
ABSLBANETF,58.86
ABSLLIQUID,1000.0
ABSLNN50ET,72.47
ABSLPSE,10.14
ACC,1850.1
ACCELYA,1429.6
ACCURACY,6.58
ACE,1110.1
ACEINTEG,23.9
ACI,641.9
ACL,73.72
ACLGATI,60.61
ACMESOLAR,283.15
ACUTAAS,1683.3
ADANIENSOL,944.25
ADANIENT,2504.2
ADANIGREEN,1031.1
ADANIPORTS,1429.0
ADANIPOWER,167.72
ADFFOODS,211.35
ADL,86.43
ADOR,1132.5
ADROITINFO,11.7
ADSL,181.73
ADVANCE,147.57
ADVANIHOTR,58.75
ADVENZYMES,306.6
AEGISLOG,782.6
AEGISVOPAK,280.25
AEROENTER,85.27
AEROFLEX,172.33
AERONEU,83.68
AETHER,764.45
AFCONS,443.45
AFFLE,1887.4
AFFORDABLE,264.58
AFIL,8.18
AFSL,201.34
AGARIND,897.75
AGARWALEYE,520.85
AGI,827.25
AGIIL,264.8
AGRITECH,130.88
AGROPHOS,42.3
AGSTRA,4.43
AHCL,124.48
AHLADA,59.72
AHLEAST,147.07
AHLUCONT,924.6
AIAENG,3360.2
AIIL,3032.6
AIRAN,24.31
AIROLAM,102.21
AJANTPHARM,2414.4
AJAXENGG,616.3
AJMERA,1023.15
AJOONI,5.13
AKASH,28.01
AKG,13.47
AKI,8.27
AKSHAR,0.61
AKSHARCHEM,267.5
AKSHOPTFBR,7.63
AKUMS,460.55
AKZOINDIA,3283.5
ALANKIT,12.0
ALBERTDAVD,801.15
ALEMBICLTD,100.8
ALICON,873.8
ALIVUS,924.15
ALKALI,88.45
ALKEM,5545.0
ALKYLAMINE,1871.3
ALLCARGO,33.03
ALLDIGI,889.15
ALLTIME,289.6
ALMONDZ,16.92
ALOKINDS,17.55
ALPA,89.3
ALPHA,48.82
ALPHAETF,25.28
ALPHAGEO,264.81
ALPL30IETF,27.9
ALPSINDUS,2.0
AMANTA,125.1
AMBER,8321.5
AMBICAAGAR,25.31
AMBIKCO,1386.3
AMBUJACEM,555.0
AMDIND,58.2
AMJLAND,53.98
AMNPLST,224.7
AMRUTANJAN,717.2
ANANDRATHI,3113.4
ANANTRAJ,617.45
ANDHRAPAP,77.62
ANDHRSUGAR,78.33
ANGELONE,2514.5
ANIKINDS,74.91
ANKITMETAL,1.75
ANMOL,14.93
ANSALAPI,4.37
ANTELOPUS,515.2
ANTGRAPHIC,1.07
ANTHEM,719.95
ANUHPHR,86.92
ANUP,2316.3
ANURAS,1091.0
AONEGOLD,11.33
AONELIQUID,1031.45
AONENIFTY,10.55
AONETOTAL,11.97
APARINDS,8733.5
APCL,125.07
APCOTEXIND,355.9
APEX,241.08
APLAPOLLO,1754.4
APLLTD,924.6
APOLLO,291.15
APOLLOHOSP,7837.5
APOLLOPIPE,315.4
APOLLOTYRE,499.8
APOLSINHOT,1345.6
APTECHT,114.29
APTUS,319.6
ARCHIDPLY,102.44
ARCHIES,20.14
ARE&M,996.8
ARENTERP,45.58
ARFIN,52.99
ARIES,400.0
ARIHANTCAP,99.49
ARIHANTSUP,423.5
ARISINFRA,168.06
ARKADE,166.14
ARMANFIN,1664.8
AROGRANITE,38.01
ARROWGREEN,646.85
ARSHIYA,1.76
ARSSBL,511.0
ARTEMISMED,244.8
ARTNIRMAN,64.27
ARVEE,162.41
ARVIND,323.2
ARVINDFASN,520.2
ARVSMART,624.1
ASAHIINDIA,944.7
ASAHISONG,275.65
ASAL,527.8
ASALCBR,1043.65
ASHAPURMIN,625.2
ASHIANA,281.85
ASHIMASYN,22.02
ASHOKA,189.39
ASHOKAMET,16.88
ASHOKLEY,136.35
ASIANENE,347.2
ASIANHOTNR,330.3
ASIANPAINT,2501.6
ASIANTILES,63.07
ASKAUTOLTD,496.15
ASMS,14.27
ASPINWALL,262.35
ASTEC,668.25
ASTERDM,705.8
ASTRAL,1430.8
ASTRAMICRO,1082.2
ASTRAZEN,9302.5
ASTRON,10.29
ATALREAL,24.53
ATAM,89.01
ATGL,622.55
ATHERENERG,706.3
ATL,34.16
ATLANTAA,45.34
ATLANTAELE,1048.7
ATLASCYCLE,115.16
ATUL,5898.5
ATULAUTO,489.7
AUBANK,860.35
AURIGROW,0.57
AURIONPRO,1165.4
AUROPHARMA,1085.0
AURUM,176.04
AUSOMENT,103.01
AUTOAXLES,1721.8
AUTOBEES,277.96
AUTOIETF,27.8
AUTOIND,71.04
AVADHSUGAR,426.75
AVALON,1120.6
AVANTEL,179.47
AVANTIFEED,723.9
AVG,226.14
AVL,550.25
AVONMORE,17.85
AVROIND,137.97
AVTNPL,69.49
AWFIS,613.0
AWHCL,524.0
AWL,263.25
AXISBANK,1241.9
AXISBNKETF,593.2
AXISBPSETF,12.99
AXISCADES,1445.0
AXISCETF,128.45
AXISGOLD,100.8
AXISHCETF,151.22
AXISILVER,142.24
AXISNIFTY,283.01
AXISTECETF,396.25
AXISVALUE,29.93
AXITA,8.41
AXSENSEX,86.7
AYMSYNTEX,172.76
AZAD,1663.8
BAFNAPH,135.41
BAGFILMS,7.45
BAIDFIN,10.46
BAJAJ-AUTO,9076.5
BAJAJCON,270.41
