,CLOSE_PRICE
20MICRONS,170.85
21STCENMGM,37.55
360ONE,628.75
3IINFOLTD,54.0
3MINDIA,33916.0
3PLAND,35.7
5PAISA,634.65
63MOONS,413.7
A2ZINFRA,13.5
AAATECH,98.2
AAKASH,9.7
AAREYDRUGS,55.15
AARON,284.35
AARTECH,139.5
AARTIDRUGS,532.35
AARTIIND,678.9
AARTIPHARM,528.65
AARTISURF,753.5
AARVEEDEN,28.9
AARVI,154.05
AAVAS,1488.8
ABAN,58.3
ABB,4820.45
ABBOTINDIA,25867.0
ABCAPITAL,174.7
ABFRL,223.8
ABMINTLLTD,53.95
ABSLAMC,479.4
ABSLBANETF,46.0
ABSLLIQUID,1000.01
ABSLNN50ET,56.34
ACC,2277.1
ACCELYA,1813.8
ACCURACY,14.15
ACE,911.7
ACEINTEG,39.5
ACI,617.1
ACL,123.45
ACLGATI,126.15
ADANIENSOL,1050.55
ADANIENT,2915.65
ADANIGREEN,1570.75
ADANIPORTS,1152.45
ADANIPOWER,516.75
ADFFOODS,202.75
ADL,92.3
ADORWELD,1587.45
ADROITINFO,20.65
ADSL,186.65
ADVANIHOTR,113.6
ADVENZYMES,382.45
AEGISCHEM,383.7
AEROFLEX,159.25
AETHER,874.55
AFFLE,1265.25
AGARIND,1068.85
AGI,801.85
AGRITECH,221.0
AGROPHOS,48.1
AGSTRA,115.0
AHL,340.75
AHLADA,139.5
AHLEAST,168.35
AHLUCONT,816.2
AIAENG,3713.35
AIRAN,31.15
AIROLAM,139.6
AJANTPHARM,2201.0
AJMERA,596.3
AJOONI,6.75
AKASH,40.45
AKG,23.5
AKI,29.05
AKSHAR,4.65
AKSHARCHEM,283.75
AKSHOPTFBR,12.9
AKZOINDIA,2696.1
ALANKIT,21.4
ALBERTDAVD,1236.2
ALEMBICLTD,94.4
ALICON,996.85
ALKALI,136.15
ALKEM,4964.3
ALKYLAMINE,2374.85
ALLCARGO,79.5
ALLSEC,679.65
ALMONDZ,123.6
ALOKINDS,31.9
ALPA,103.25
ALPHAETF,21.54
ALPHAGEO,288.85
ALPL30IETF,245.87
ALPSINDUS,2.35
AMBER,3749.4
AMBICAAGAR,31.2
AMBIKCO,1757.7
AMBUJACEM,537.1
AMDIND,72.6
AMIORG,1130.9
AMJLAND,43.8
AMNPLST,206.4
AMRUTANJAN,599.95
ANANDRATHI,2778.45
ANANTRAJ,316.55
ANDHRAPAP,627.05
ANDHRSUGAR,113.55
ANGELONE,3338.0
ANIKINDS,48.75
ANKITMETAL,4.75
ANMOL,59.8
ANTGRAPHIC,1.4
ANUP,2992.2
ANURAS,942.75
APARINDS,5406.4
APCL,213.95
APCOTEXIND,526.2
APEX,266.4
APLAPOLLO,1548.45
APLLTD,943.45
APOLLO,121.95
APOLLOHOSP,6094.65
APOLLOPIPE,728.8
APOLLOTYRE,503.45
APOLSINHOT,2296.3
APTECHT,283.4
APTUS,369.0
ARCHIDPLY,97.35
ARCHIES,32.55
ARE&M,817.0
ARENTERP,42.9
ARIES,224.7
ARIHANTCAP,70.15
ARIHANTSUP,345.6
ARMANFIN,2509.45
AROGRANITE,58.85
ARROWGREEN,442.15
ARSHIYA,6.75
ARTEMISMED,185.95
ARTNIRMAN,73.8
ARVEE,155.3
ARVIND,296.95
ARVINDFASN,479.9
ARVSMART,488.75
ASAHIINDIA,548.45
ASAHISONG,318.35
ASAL,454.15
ASALCBR,518.2
ASHAPURMIN,433.95
ASHIANA,294.2
ASHIMASYN,18.9
ASHOKA,162.25
ASHOKAMET,26.6
ASHOKLEY,172.35
ASIANENE,277.45
ASIANHOTNR,208.45
ASIANPAINT,3165.85
