,CLOSE_PRICE
20MICRONS,98.6
21STCENMGM,23.05
3IINFOLTD,44.0
3MINDIA,25130.7
3PLAND,16.85
4THDIM,62.7
5PAISA,347.4
63MOONS,170.35
A2ZINFRA,10.35
AAKASH,14.9
AAREYDRUGS,38.85
AARON,165.0
AARTIDRUGS,501.4
AARTIIND,787.1
AARTISURF,787.95
AARVEEDEN,25.35
AARVI,151.65
AAVAS,2179.75
ABAN,51.9
ABB,3188.85
ABBOTINDIA,19134.95
ABCAPITAL,115.55
ABFRL,335.75
ABMINTLLTD,75.1
ABSLAMC,448.5
ABSLBANETF,39.43
ABSLNN50ET,43.96
ACC,2381.75
ACCELYA,1108.1
ACCURACY,269.3
ACE,293.0
ACRYSIL,605.75
ADANIENT,3285.0
ADANIGREEN,2201.7
ADANIPORTS,824.1
ADANIPOWER,370.1
ADANITRANS,3358.75
ADFFOODS,711.35
ADL,72.8
ADORWELD,894.85
ADROITINFO,16.4
ADSL,104.85
ADVANIHOTR,85.9
ADVENZYMES,280.45
AEGISCHEM,285.2
AETHER,987.45
AFFLE,1277.85
AGARIND,698.85
AGI,334.1
AGRITECH,97.15
AGROPHOS,36.9
AGSTRA,80.8
AHLADA,104.05
AHLEAST,175.75
AHLUCONT,424.6
AIAENG,2516.1
AIRAN,18.7
AIROLAM,110.35
AJANTPHARM,1267.35
AJMERA,276.2
AJOONI,42.7
AJRINFRA,1.65
AKASH,33.4
AKG,62.05
AKSHAR,65.9
AKSHARCHEM,331.65
AKSHOPTFBR,12.5
AKZOINDIA,2209.65
ALANKIT,11.55
ALBERTDAVD,572.6
ALEMBICLTD,68.0
ALICON,849.0
ALKALI,110.9
ALKEM,3279.35
ALKYLAMINE,2921.7
ALLCARGO,418.6
ALLSEC,499.5
ALMONDZ,83.65
ALOKINDS,18.15
ALPA,60.15
ALPHAGEO,294.15
ALPSINDUS,2.35
AMARAJABAT,501.05
AMBER,2369.35
AMBICAAGAR,29.5
AMBIKCO,1624.0
AMBUJACEM,506.9
AMDIND,72.2
AMIORG,941.25
AMJLAND,29.65
AMRUTANJAN,719.25
ANANDRATHI,665.1
ANANTRAJ,103.85
ANDHRAPAP,443.8
ANDHRSUGAR,144.6
ANDREWYU,20.35
ANGELONE,1540.5
ANIKINDS,37.9
ANKITMETAL,6.0
ANMOL,172.1
ANSALAPI,21.8
ANSALHSG,5.45
ANTGRAPHIC,0.85
ANUP,883.65
ANURAS,740.15
APARINDS,1472.7
APCL,243.2
APCOTEXIND,583.15
APEX,305.9
APLAPOLLO,1137.3
APLLTD,622.85
APOLLO,189.65
APOLLOHOSP,4390.5
APOLLOPIPE,530.45
APOLLOTYRE,272.55
APOLSINHOT,1387.8
APTECHT,265.25
APTUS,308.4
ARCHIDPLY,83.5
ARCHIES,19.65
ARENTERP,33.65
ARIES,132.85
ARIHANTCAP,73.85
ARIHANTSUP,229.75
ARMANFIN,1404.6
AROGRANITE,46.95
ARROWGREEN,102.0
ARSHIYA,13.85
ARSSINFRA,21.05
ARTEMISMED,61.15
ARTNIRMAN,111.3
ARVEE,92.2
ARVIND,96.1
ARVINDFASN,314.3
ARVSMART,262.7
ASAHIINDIA,635.75
ASAHISONG,301.75
ASAL,408.55
ASALCBR,502.6
ASHAPURMIN,91.35
ASHIANA,163.3
ASHIMASYN,16.35
ASHOKA,79.2
ASHOKLEY,156.5
ASIANENE,76.05
ASIANHOTNR,91.75
ASIANPAINT,3328.95
ASIANTILES,58.25
ASPINWALL,241.3
ASTEC,1869.1
ASTERDM,248.35
ASTRAL,2249.9
ASTRAMICRO,313.75
ASTRAZEN,3089.05
ASTRON,37.7
ATFL,744.4
ATGL,3308.0
ATLANTA,19.55
ATUL,9001.7
ATULAUTO,207.25
AUBANK,605.05
AURIONPRO,433.95
AUROPHARMA,542.5
AURUM,131.65
AUSOMENT,72.15
AUTOAXLES,1993.55
AUTOBEES,129.43
AUTOIND,99.05
AVADHSUGAR,511.7
AVANTIFEED,498.65
AVROIND,123.0
AVTNPL,101.9
AWHCL,309.9
AWL,746.6
AXISBANK,755.1
AXISBNKETF,395.57
AXISBPSETF,10.48
AXISCADES,173.6
AXISCETF,78.87
AXISGOLD,44.35
AXISHCETF,83.95
AXISILVER,61.5
AXISNIFTY,183.64
AXISTECETF,286.13
AXITA,302.65
AYMSYNTEX,83.15
BAFNAPH,101.65
BAGFILMS,5.9
BAJAJ-AUTO,3594.65
BAJAJCON,158.7
BAJAJELEC,1188.3
BAJAJFINSV,1710.55
BAJAJHCARE,361.9
BAJAJHIND,10.9
BAJAJHLDNG,6607.0
BAJFINANCE,7404.15
BALAJITELE,50.85
BALAMINES,3233.1
BALAXI,608.9
BALKRISHNA,35.1
BALKRISIND,1918.45
BALMLAWRIE,112.55
BALPHARMA,94.45
BALRAMCHIN,360.4
BANARBEADS,82.8
BANARISUG,2892.95
BANCOINDIA,179.8
BANDHANBNK,274.05
BANG,46.5
BANKA,71.3
BANKBARODA,134.9
BANKBEES,397.32
BANKINDIA,48.5
BANSWRAS,103.1
BARBEQUE,1078.7
BARTRONICS,4.0
BASF,2963.35
BASML,51.9
BATAINDIA,1800.8
BAYERCROP,4855.55
BBETF0432,1010.74
BBL,1935.8
BBOX,144.35
BBTC,942.25
BCG,36.9
BCLIND,342.5
BCONCEPTS,204.0
BCP,4.9
BDL,923.65
BEARDSELL,22.4
BECTORFOOD,373.85
BEDMUTHA,69.4
BEL,104.65
BEML,1503.05
BEPL,122.35
BERGEPAINT,615.45
BESTAGRO,1327.65
BFINVEST,296.95
BFUTILITIE,421.35
BGRENERGY,72.95
BHAGCHEM,1395.1
BHAGERIA,173.65
BHAGYANGR,47.35
BHAGYAPROP,41.35
BHANDARI,5.85
BHARATFORG,763.9
BHARATGEAR,151.4
BHARATRAS,11186.8
BHARATWIRE,116.75
BHARTIARTL,788.6
BHEL,63.85
BIGBLOC,137.3
BIL,220.95
BINDALAGRO,26.15
BIOCON,291.2
BIOFILCHEM,48.85
BIRLACABLE,138.1
BIRLACORPN,943.5
BIRLAMONEY,58.8
BIRLATYRE,4.85
BKMINDST,1.25
BLBLIMITED,20.55
BLISSGVS,75.55
BLKASHYAP,25.55
BLS,282.9
BLUECOAST,6.55
BLUEDART,9240.0
BLUESTARCO,1128.0
BODALCHEM,87.6
BOMDYEING,99.3
BOROLTD,403.8
BORORENEW,588.9
BOSCHLTD,15945.6
BPCL,312.15
BPL,73.9
BRIGADE,518.7
BRITANNIA,3767.55
BRNL,35.05
BROOKS,109.65
BSE,610.9
BSHSL,119.2
BSL,158.9
BSLGOLDETF,46.77
BSLNIFTY,19.47
BSLSENETFG,56.51
BSOFT,295.15
BURNPUR,5.2
BUTTERFLY,1809.15
BVCL,24.8
BYKE,44.8
CALSOFT,19.35
CAMLINFINE,115.7
CAMPUS,589.55
CAMS,2486.45
CANBK,227.05
CANFINHOME,501.25
CANTABIL,1349.15
CAPACITE,161.4
CAPLIPOINT,740.35
CAPTRUST,97.45
CARBORUNIV,890.05
CAREERP,132.6
CARERATING,512.2
CARTRADE,609.7
CASTROLIND,112.4
CCCL,1.8
CCHHL,8.1
CCL,509.55
CDSL,1271.5
CEATLTD,1593.3
CELEBRITY,20.1
CENTENKA,468.2
CENTEXT,11.45
CENTRALBK,20.1
CENTRUM,24.65
CENTUM,529.4
CENTURYPLY,630.0
CENTURYTEX,825.6
CERA,5379.8
CEREBRAINT,39.6
CESC,80.25
CGCL,735.85
CGPOWER,241.0
CHALET,375.3
CHAMBLFERT,321.65
CHEMBOND,190.85
CHEMCON,463.45
CHEMFAB,429.85
CHEMPLASTS,412.05
CHENNPETRO,243.2
CHEVIOT,1181.25
CHOICEIN,236.05
CHOLAFIN,728.7
CHOLAHLDNG,650.75
CIGNITITEC,541.9
CINELINE,116.75
CINEVISTA,13.6
CIPLA,1134.45
CLEAN,1690.0
CLEDUCATE,148.45
CLNINDIA,425.7
CLSEL,109.6
CMICABLES,25.9
CMSINFO,296.1
COALINDIA,233.5
