,CLOSE_PRICE
20MICRONS,288.55
21STCENMGM,110.89
360ONE,1012.15
3IINFOLTD,26.07
3MINDIA,33748.65
3PLAND,35.3
5PAISA,487.1
63MOONS,453.85
A2ZINFRA,16.65
AAATECH,111.85
AADHARHFC,419.6
AAKASH,10.88
AAREYDRUGS,58.29
AARON,255.6
AARTECH,60.88
AARTIDRUGS,474.7
AARTIIND,488.6
AARTIPHARM,605.4
AARTISURF,698.65
AARVEEDEN,43.29
AARVI,138.47
AAVAS,1673.95
ABAN,64.29
ABB,7521.65
ABBOTINDIA,28509.1
ABCAPITAL,202.91
ABDL,299.75
ABFRL,300.3
ABGSEC,103.52
ABMINTLLTD,91.03
ABREL,2638.85
ABSLAMC,735.45
ABSLBANETF,51.65
ABSLLIQUID,1000.0
ABSLNN50ET,72.27
ABSLPSE,10.07
ACC,2237.8
ACCELYA,1555.65
ACCURACY,9.45
ACE,1222.9
ACEINTEG,32.01
ACI,596.85
ACL,85.81
ACLGATI,95.79
ADANIENSOL,919.35
ADANIENT,2693.45
ADANIGREEN,1644.0
ADANIPORTS,1318.7
ADANIPOWER,592.3
ADFFOODS,270.8
ADL,94.0
ADORWELD,1235.85
ADROITINFO,19.29
ADSL,277.4
ADVANIHOTR,63.67
ADVENZYMES,436.5
AEGISLOG,747.45
AEROFLEX,180.15
AETHER,789.15
AFFLE,1464.55
AFFORDABLE,706.8
AFIL,92.29
AGARIND,1010.0
AGI,846.7
AGIIL,1007.95
AGRITECH,202.63
AGROPHOS,42.11
AGSTRA,82.86
AHL,379.5
AHLADA,94.52
AHLEAST,158.2
AHLUCONT,1031.65
AIAENG,3897.7
AIIL,1615.4
AIRAN,32.19
AIROLAM,130.33
AJANTPHARM,2969.3
AJMERA,824.75
AJOONI,7.03
AKASH,32.41
AKG,18.55
AKI,18.68
AKSHAR,0.87
AKSHARCHEM,284.65
AKSHOPTFBR,9.92
AKUMS,848.25
AKZOINDIA,3712.7
ALANKIT,21.87
ALBERTDAVD,1330.8
ALEMBICLTD,117.75
ALICON,1193.75
ALKALI,108.41
ALKEM,5942.55
ALKYLAMINE,2001.5
ALLCARGO,54.99
ALLDIGI,971.6
ALMONDZ,27.43
ALOKINDS,20.82
ALPA,107.35
ALPHA,52.44
ALPHAETF,26.49
ALPHAGEO,425.25
ALPL30IETF,29.27
ALPSINDUS,3.44
AMBER,6171.2
AMBICAAGAR,25.93
AMBIKCO,1527.45
AMBUJACEM,552.7
AMDIND,60.59
AMIORG,1508.75
AMJLAND,47.5
AMNPLST,283.6
AMRUTANJAN,721.85
ANANDRATHI,3996.25
ANANTRAJ,660.6
ANDHRAPAP,93.99
ANDHRSUGAR,93.62
ANGELONE,2798.8
ANIKINDS,79.4
ANKITMETAL,3.79
ANMOL,30.05
ANTGRAPHIC,1.5
ANUP,2743.05
ANURAS,688.75
APARINDS,9449.75
APCL,166.3
APCOTEXIND,392.55
APEX,238.63
APLAPOLLO,1473.7
APLLTD,1067.9
APOLLO,102.13
APOLLOHOSP,6944.85
APOLLOPIPE,508.15
APOLLOTYRE,480.05
APOLSINHOT,1684.15
APTECHT,168.88
APTUS,337.8
ARCHIDPLY,111.43
ARCHIES,26.1
ARE&M,1241.8
ARENTERP,44.59
ARIES,226.95
ARIHANTCAP,105.23
ARIHANTSUP,348.7
ARKADE,133.07
ARMANFIN,1465.95
AROGRANITE,50.57
ARROWGREEN,785.5
ARSHIYA,3.19
ARSSINFRA,16.42
ARTEMISMED,265.0
ARTNIRMAN,57.71
ARVEE,170.91
ARVIND,312.3
ARVINDFASN,554.25
ARVSMART,777.0
ASAHIINDIA,674.7
ASAHISONG,421.05
ASAL,700.05
ASALCBR,829.95
ASHAPURMIN,303.6
ASHIANA,301.2
ASHIMASYN,30.63
ASHOKA,215.79
ASHOKAMET,24.44
ASHOKLEY,214.0
ASIANENE,322.0
ASIANHOTNR,175.71
ASIANPAINT,2958.0
ASIANTILES,66.57
ASKAUTOLTD,406.5
ASMS,20.46
ASPINWALL,262.6
ASTEC,1060.9
ASTERDM,448.75
ASTRAL,1799.3
ASTRAMICRO,729.0
ASTRAZEN,7142.2
ASTRON,19.35
ATALREAL,11.16
ATAM,127.33
ATFL,874.65
ATGL,724.15
ATL,38.53
ATLANTAA,46.24
ATUL,7404.55
ATULAUTO,576.5
AUBANK,604.5
AURIONPRO,1525.95
AUROPHARMA,1428.15
AURUM,196.57
AUSOMENT,155.43
AUTOAXLES,1780.25
AUTOBEES,244.1
AUTOIETF,24.35
AUTOIND,106.27
AVADHSUGAR,584.1
AVALON,587.35
AVANTEL,167.75
AVANTIFEED,550.5
AVG,473.4
AVONMORE,16.2
AVROIND,140.53
AVTNPL,78.95
AWFIS,682.65
AWHCL,706.05
AWL,324.25
AXISBANK,1189.35
AXISBNKETF,520.55
AXISBPSETF,12.12
AXISCADES,487.95
AXISCETF,118.02
AXISGOLD,65.77
AXISHCETF,144.93
AXISILVER,96.49
AXISNIFTY,262.18
AXISTECETF,443.84
AXITA,14.44
AXSENSEX,79.41
AYMSYNTEX,226.61
AZAD,1407.6
BAFNAPH,77.5
BAGFILMS,9.65
BAIDFIN,14.78
BAJAJ-AUTO,10206.1
BAJAJCON,220.19
BAJAJELEC,844.35
BAJAJFINSV,1707.4
BAJAJHCARE,340.4
BAJAJHFL,131.34
BAJAJHIND,32.16
BAJAJHLDNG,10156.45
BAJEL,244.0
BAJFINANCE,6910.15
BALAJEE,71.42
BALAJITELE,57.08
BALAMINES,2020.75
