,CLOSE_PRICE
20MICRONS,58.4
21STCENMGM,54.3
3IINFOLTD,97.75
3MINDIA,24985.55
3PLAND,12.65
5PAISA,405.9
63MOONS,115.95
A2ZINFRA,5.6
AAKASH,225.1
AAREYDRUGS,35.35
AARON,116.7
AARTIDRUGS,512.55
AARTIIND,977.2
AARTISURF,1072.35
AARVEEDEN,22.4
AARVI,57.35
AAVAS,2809.05
ABAN,45.3
ABB,2112.85
ABBOTINDIA,19004.9
ABCAPITAL,111.25
ABFRL,262.2
ABMINTLLTD,105.4
ABSLAMC,577.95
ABSLBANETF,36.36
ABSLNN50ET,42.52
ACC,2264.65
ACCELYA,1057.3
ACCURACY,194.35
ACE,218.2
ACRYSIL,837.2
ADANIENT,1732.25
ADANIGREEN,1341.6
ADANIPORTS,739.1
ADANIPOWER,101.75
ADANITRANS,1885.2
ADFFOODS,825.3
ADL,52.6
ADORWELD,680.1
ADROITINFO,11.0
ADSL,113.2
ADVANIHOTR,80.0
ADVENZYMES,325.85
AEGISCHEM,235.0
AFFLE,1114.0
AGARIND,429.0
AGCNET,906.85
AGRITECH,62.9
AGROPHOS,17.2
AHLADA,140.35
AHLEAST,171.2
AHLUCONT,419.4
AHLWEST,217.95
AIAENG,1862.3
AIRAN,20.1
AIROLAM,55.45
AJANTPHARM,2117.7
AJMERA,289.55
AJOONI,60.9
AJRINFRA,1.35
AKASH,172.35
AKG,36.9
AKSHARCHEM,407.65
AKSHOPTFBR,8.7
AKZOINDIA,2080.9
ALANKIT,15.05
ALBERTDAVD,584.3
ALEMBICLTD,101.45
ALICON,822.85
ALKALI,88.7
ALKEM,3473.2
ALKYLAMINE,3219.0
ALLCARGO,339.8
ALLSEC,453.75
ALMONDZ,116.75
ALOKINDS,21.4
ALPA,60.45
ALPHAGEO,326.1
ALPSINDUS,3.0
AMARAJABAT,627.15
AMBER,3036.7
AMBICAAGAR,16.95
AMBIKCO,1898.6
AMBUJACEM,377.35
AMDIND,30.3
AMIORG,909.8
AMJLAND,30.85
AMRUTANJAN,902.7
ANANTRAJ,67.2
ANDHRACEMT,15.8
ANDHRAPAP,230.6
ANDHRSUGAR,583.1
ANDREWYU,22.2
ANGELONE,1123.65
ANIKINDS,19.7
ANKITMETAL,5.7
ANMOL,165.15
ANSALAPI,11.0
ANSALHSG,6.55
ANUP,1010.8
ANURAS,792.7
APARINDS,687.95
APCL,306.7
APCOTEXIND,359.75
APEX,297.5
APLAPOLLO,946.55
APLLTD,803.6
APOLLO,110.6
APOLLOHOSP,5592.95
APOLLOPIPE,617.6
APOLLOTYRE,209.9
APOLSINHOT,830.4
APTECHT,366.75
APTUS,317.7
ARCHIDPLY,44.0
ARCHIES,16.55
ARENTERP,29.75
ARIES,136.6
ARIHANT,41.95
ARIHANTCAP,141.65
ARIHANTSUP,186.55
ARMANFIN,970.3
AROGRANITE,76.3
ARROWGREEN,138.65
ARSHIYA,28.85
ARSSINFRA,30.45
ARTEMISMED,34.45
ARTNIRMAN,132.8
ARVEE,74.1
ARVIND,116.5
ARVINDFASN,281.95
ARVSMART,195.75
ASAHIINDIA,470.45
ASAHISONG,272.3
ASAL,236.4
ASALCBR,513.45
ASHAPURMIN,100.8
ASHIANA,175.75
ASHIMASYN,16.55
ASHOKA,96.55
ASHOKLEY,120.0
ASIANHOTNR,73.25
ASIANPAINT,3180.6
ASIANTILES,128.75
ASPINWALL,146.1
ASTEC,1335.75
ASTERDM,193.6
ASTRAL,2233.35
ASTRAMICRO,246.95
ASTRAZEN,3106.85
ASTRON,48.1
ATFL,950.1
ATGL,1657.75
ATLANTA,19.25
ATUL,8801.75
ATULAUTO,210.85
AUBANK,1131.45
AURIONPRO,272.6
AUROPHARMA,673.55
AURUM,173.25
AUSOMENT,58.6
AUTOAXLES,1288.0
AUTOIND,56.45
AVADHSUGAR,419.25
AVANTIFEED,524.85
AVTNPL,73.95
AWHCL,293.9
AXISBANK,676.1
AXISBNKETF,368.58
AXISBPSETF,10.44
AXISCADES,78.1
AXISCETF,70.45
AXISGOLD,41.12
AXISHCETF,85.78
AXISNIFTY,182.73
AXISTECETF,365.19
AYMSYNTEX,94.75
BAFNAPH,117.7
BAGFILMS,3.1
BAJAJ-AUTO,3328.4
BAJAJCON,182.55
BAJAJELEC,1035.35
BAJAJFINSV,17758.15
BAJAJHCARE,350.75
BAJAJHIND,12.8
BAJAJHLDNG,5347.0
BAJFINANCE,7180.5
BALAJITELE,58.45
BALAMINES,3035.6
BALAXI,538.5
BALKRISHNA,24.1
BALKRISIND,2207.0
BALLARPUR,1.35
BALMLAWRIE,116.75
BALPHARMA,98.45
BALRAMCHIN,330.95
BANARBEADS,72.35
BANARISUG,2165.15
BANCOINDIA,177.0
BANDHANBNK,278.8
BANG,32.05
BANKA,72.6
BANKBARODA,88.1
BANKBEES,367.98
BANKINDIA,54.35
BANSWRAS,209.8
BARBEQUE,1509.9
BARTRONICS,5.25
BASF,2815.45
BASML,67.8
BATAINDIA,1914.85
BAYERCROP,4682.55
BBL,1796.9
BBTC,1016.45
BCG,124.95
BCLIND,227.65
BCP,3.85
BDL,422.95
BEARDSELL,12.05
BECTORFOOD,389.3
BEDMUTHA,50.45
BEL,205.9
BEML,1893.85
BEPL,162.1
BERGEPAINT,743.55
BESTAGRO,1128.95
BFINVEST,316.55
BFUTILITIE,377.05
BGEAR-RE,103.25
BGRENERGY,59.65
BHAGCHEM,807.55
BHAGERIA,248.55
BHAGYANGR,45.25
BHAGYAPROP,34.6
BHANDARI,5.35
BHARATFORG,705.85
BHARATGEAR,160.1
BHARATRAS,9879.95
BHARATWIRE,56.3
BHARTIARTL,732.55
BHEL,60.55
BIGBLOC,41.65
BIL,229.25
BINDALAGRO,22.8
BIOCON,367.5
BIOFILCHEM,60.05
BIRLACABLE,80.2
BIRLACORPN,1335.45
BIRLAMONEY,60.1
BIRLATYRE,22.9
BKMINDST,1.4
BLBLIMITED,11.6
BLISSGVS,98.6
BLKASHYAP,23.8
BLS,195.15
BLUEDART,6709.55
BLUESTARCO,986.75
BODALCHEM,110.2
BOMDYEING,85.65
BOROLTD,310.35
BORORENEW,601.4
BOSCHLTD,16641.2
BPCL,378.85
BPL,69.75
BRFL,5.75
BRIGADE,491.95
BRITANNIA,3578.5
BRNL,27.1
BROOKS,107.1
BSE,1899.0
BSHSL,288.0
BSL,94.5
BSLGOLDETF,43.15
BSLNIFTY,19.24
BSLSENETFG,55.78
BSOFT,488.8
BURGERKING,148.6
BURNPUR,2.8
BUTTERFLY,877.9
BVCL,19.95
BYKE,32.75
CADILAHC,460.55
CALSOFT,28.65
CAMLINFINE,139.4
CAMS,2975.05
CANBK,207.15
CANDC,3.35
CANFINHOME,588.15
CANTABIL,668.85
CAPACITE,163.9
CAPLIPOINT,802.5
CAPTRUST,101.4
CARBORUNIV,897.25
CAREERP,132.7
CARERATING,640.7
CARTRADE,936.25
CASTROLIND,126.45
CCHHL,7.5
CCL,390.3
CDSL,1542.9
CEATLTD,1140.1
CEBBCO,33.65
CELEBRITY,10.25
CENTENKA,401.7
CENTEXT,8.55
CENTRALBK,21.65
CENTRUM,34.65
CENTUM,545.45
CENTURYPLY,596.35
CENTURYTEX,831.5
CERA,4939.65
CEREBRAINT,81.75
CESC,88.1
CGCL,512.7
CGPOWER,157.1
CHALET,228.9
CHAMBLFERT,397.25
CHEMBOND,206.4
CHEMCON,371.0
CHEMFAB,148.2
CHEMPLASTS,586.85
CHENNPETRO,107.0
CHOLAFIN,566.65
CHOLAHLDNG,700.05
CIGNITITEC,589.4
CINELINE,91.85
CINEVISTA,20.15
CIPLA,921.25
CLEAN,2306.35
CLEDUCATE,126.05
CLNINDIA,495.6
CLSEL,94.45
CMICABLES,36.3
COALINDIA,159.3
COASTCORP,288.15
COCHINSHIP,343.25
COFFEEDAY,37.35
COFORGE,5414.15
COLPAL,1440.4
COMPINFO,27.15
COMPUSOFT,18.45
CONCOR,639.25
CONFIPET,72.85
CONSOFINVT,142.4
CONTROLPR,347.15
CORALFINAC,39.1
CORDSCABLE,49.7
COROMANDEL,746.2
COSMOFILMS,1391.35
COUNCODOS,3.35
COX&KINGS,1.45
CPSEETF,30.15
CRAFTSMAN,2284.35
CREATIVE,387.9
CREDITACC,519.35
CREST,143.9
CRISIL,3100.55
CROMPTON,433.7
CSBBANK,266.85
CTE,57.25
CUB,145.45
CUBEXTUB,22.9
CUMMINSIND,919.55
CUPID,213.7
CYBERMEDIA,9.4
CYBERTECH,152.2
CYIENT,1000.75
DAAWAT,64.7
DABUR,578.55
DALBHARAT,1848.45
DALMIASUG,365.4
DAMODARIND,44.5
DANGEE,203.7
DATAMATICS,302.35
DBCORP,93.6
DBL,545.1
DBREALTY,41.5
DBSTOCKBRO,15.15
DCAL,253.2
DCBBANK,83.9
DCM,109.1
DCMFINSERV,3.15
DCMNVL,283.95
DCMSHRIRAM,986.95
DCW,41.35
DECCANCE,599.2
DEEPAKFERT,372.1
DEEPAKNTR,2219.6
DEEPENR,39.45
DEEPINDS,143.75
DELPHIFX,554.55
DELTACORP,253.45
DELTAMAGNT,60.55
DEN,40.8
DENORA,434.35
DEVYANI,152.9
DFMFOODS,272.75
DGCONTENT,17.0
DHAMPURSUG,289.5
DHANBANK,14.15
DHANI,175.3
DHANUKA,750.1
DHARAMSI,314.15
DHARSUGAR,16.6
DHRUV,75.1
DHUNINV,611.85
DIAMONDYD,761.25
DIAPOWER,1.1
DICIND,389.75
DIGISPICE,38.4
DIGJAMLMTD,88.35
DISHTV,18.4
DIVISLAB,4777.3
DIXON,5095.65
DLF,385.05
DLINKINDIA,132.7
DMART,4782.95
DNAMEDIA,3.15
DODLA,571.55
DOLAT,87.4
DOLLAR,449.55
DONEAR,60.95
DPABHUSHAN,288.2
DPSCLTD,28.35
DPWIRES,214.75
