,CLOSE_PRICE
20MICRONS,324.0
21STCENMGM,116.03
360ONE,1097.45
3IINFOLTD,36.29
3MINDIA,35368.8
3PLAND,44.36
5PAISA,520.05
63MOONS,335.9
A2ZINFRA,18.52
AAATECH,119.28
AADHARHFC,386.7
AAKASH,12.98
AAREYDRUGS,66.23
AARON,271.3
AARTECH,77.1
AARTIDRUGS,584.4
AARTIIND,640.75
AARTIPHARM,655.65
AARTISURF,658.0
AARVEEDEN,47.8
AARVI,144.16
AAVAS,1720.1
ABAN,78.75
ABB,7938.4
ABBOTINDIA,29955.25
ABCAPITAL,221.99
ABDL,341.65
ABFRL,314.85
ABGSEC,102.16
ABMINTLLTD,62.24
ABSLAMC,733.7
ABSLBANETF,51.86
ABSLLIQUID,1000.01
ABSLNN50ET,78.03
ABSLPSE,11.44
ACC,2330.35
ACCELYA,1796.35
ACCURACY,11.99
ACE,1269.5
ACEINTEG,34.25
ACI,767.95
ACL,91.88
ACLGATI,104.64
ADANIENSOL,1027.15
ADANIENT,3028.0
ADANIGREEN,1861.1
ADANIPORTS,1469.8
ADANIPOWER,641.55
ADFFOODS,261.8
ADL,96.12
ADORWELD,1315.1
ADROITINFO,20.73
ADSL,230.81
ADVANIHOTR,75.57
ADVENZYMES,458.6
AEGISLOG,759.05
AEROFLEX,170.98
AETHER,886.6
AFFLE,1660.55
AFIL,120.4
AGARIND,1268.25
AGI,924.85
AGIIL,998.7
AGRITECH,215.91
AGROPHOS,46.01
AGSTRA,105.7
AHL,596.6
AHLADA,106.72
AHLEAST,134.33
AHLUCONT,1299.5
AIAENG,4359.3
AIIL,1710.75
AIRAN,38.8
AIROLAM,134.67
AJANTPHARM,3080.45
AJMERA,693.45
AJOONI,8.43
AKASH,40.09
AKG,22.34
AKI,21.36
AKSHAR,1.93
AKSHARCHEM,345.3
AKSHOPTFBR,9.03
AKUMS,883.45
AKZOINDIA,3527.2
ALANKIT,27.79
ALBERTDAVD,1554.75
ALEMBICLTD,160.91
ALICON,1477.8
ALKALI,113.3
ALKEM,5997.4
ALKYLAMINE,2113.2
ALLCARGO,69.28
ALLSEC,1134.05
ALMONDZ,30.93
ALOKINDS,27.75
ALPA,108.02
ALPHA,57.81
ALPHAETF,29.42
ALPHAGEO,458.35
ALPL30IETF,30.98
ALPSINDUS,4.1
AMBER,4379.4
AMBICAAGAR,33.37
AMBIKCO,1740.55
AMBUJACEM,616.4
AMDIND,78.48
AMIORG,1368.15
AMJLAND,56.44
AMNPLST,324.95
AMRUTANJAN,832.25
ANANDRATHI,3729.0
ANANTRAJ,609.25
ANDHRAPAP,574.0
ANDHRSUGAR,112.81
ANGELONE,2621.75
ANIKINDS,77.04
ANMOL,35.16
ANSALAPI,9.93
ANTGRAPHIC,2.13
ANUP,2204.1
ANURAS,784.15
APARINDS,9009.6
APCL,187.83
APCOTEXIND,459.2
APEX,266.4
APLAPOLLO,1475.6
APLLTD,1067.15
APOLLO,105.92
APOLLOHOSP,6776.45
APOLLOPIPE,601.95
APOLLOTYRE,497.5
APOLSINHOT,1532.9
APTECHT,237.9
APTUS,318.1
ARCHIDPLY,137.0
ARCHIES,27.09
ARE&M,1535.6
ARENTERP,55.3
ARIES,293.5
ARIHANTCAP,76.99
ARIHANTSUP,309.8
ARMANFIN,1726.55
AROGRANITE,60.83
ARROWGREEN,832.9
ARSSINFRA,19.55
ARTEMISMED,268.9
ARTNIRMAN,68.91
ARVEE,187.0
ARVIND,399.05
ARVINDFASN,533.55
ARVSMART,715.6
ASAHIINDIA,640.25
ASAHISONG,531.1
ASAL,832.25
ASALCBR,876.1
ASHAPURMIN,352.35
ASHIANA,336.4
ASHIMASYN,36.12
ASHOKA,233.25
ASHOKAMET,20.19
ASHOKLEY,260.45
ASIANENE,420.15
ASIANHOTNR,187.11
ASIANPAINT,3125.5
ASIANTILES,93.73
ASKAUTOLTD,468.9
ASMS,17.66
ASPINWALL,301.7
ASTEC,1213.1
ASTERDM,409.9
ASTRAL,1958.1
ASTRAMICRO,878.5
ASTRAZEN,6737.3
ASTRON,24.48
ATALREAL,7.48
ATAM,165.67
ATFL,873.25
ATGL,848.8
ATL,51.02
ATLANTAA,48.8
ATUL,7899.2
ATULAUTO,645.25
AUBANK,632.55
AURIONPRO,1920.75
AUROPHARMA,1564.2
AURUM,216.69
AUSOMENT,97.0
AUTOAXLES,2048.2
AUTOBEES,263.66
AUTOIETF,26.4
AUTOIND,146.9
AVADHSUGAR,702.35
AVALON,533.4
AVANTEL,182.0
AVANTIFEED,670.45
AVG,453.05
AVONMORE,14.0
AVROIND,178.69
AVTNPL,89.62
AWFIS,795.35
AWHCL,718.0
AWL,367.15
AXISBANK,1170.95
AXISBNKETF,523.13
AXISBPSETF,11.97
AXISCADES,624.45
AXISCETF,122.7
AXISGOLD,60.85
AXISHCETF,145.32
AXISILVER,86.24
AXISNIFTY,271.46
AXISTECETF,450.52
AXITA,24.48
AXSENSEX,83.27
AYMSYNTEX,135.49
AZAD,1613.4
BAFNAPH,83.0
BAGFILMS,10.2
BAIDFIN,14.71
BAJAJ-AUTO,10656.75
BAJAJCON,266.5
BAJAJELEC,959.9
BAJAJFINSV,1713.5
BAJAJHCARE,399.7
BAJAJHIND,41.09
BAJAJHLDNG,9972.45
BAJEL,275.0
BAJFINANCE,6900.0
BALAJITELE,70.49
BALAMINES,2193.7
BALAXI,107.25
BALKRISHNA,25.37
BALKRISIND,2820.45
BALMLAWRIE,278.25
BALPHARMA,152.58
BALRAMCHIN,587.4
BALUFORGE,771.5
BANARBEADS,98.12
BANARISUG,3109.15
BANCOINDIA,676.5
BANDHANBNK,196.66
BANG,58.91
BANKA,127.03
BANKBARODA,249.85
BANKBEES,524.84
BANKBETF,51.49
BANKETF,515.8
BANKETFADD,51.76
BANKIETF,52.03
BANKINDIA,117.93
BANKNIFTY1,524.69
BANSALWIRE,385.25
BANSWRAS,146.66
BARBEQUE,650.85
BASF,6789.7
BASML,62.78
BATAINDIA,1449.85
BAYERCROP,6363.05
BBETF0432,1174.27
BBL,5334.35
BBNPNBETF,51.32
BBNPPGOLD,70.7
BBOX,540.5
BBTC,2574.9
BBTCL,237.14
BCLIND,57.96
BCONCEPTS,671.9
BDL,1323.25
BEARDSELL,34.95
BECTORFOOD,1559.35
BEDMUTHA,232.14
BEL,299.95
BEML,3895.55
BEPL,163.68
BERGEPAINT,573.85
BESTAGRO,661.45
BFINVEST,590.15
BFSI,24.08
BFUTILITIE,792.7
BGRENERGY,54.5
BHAGCHEM,402.8
BHAGERIA,236.36
BHAGYANGR,104.19
BHANDARI,7.51
BHARATFORG,1584.5
BHARATGEAR,114.11
BHARATRAS,13403.05
BHARATWIRE,286.2
BHARTIARTL,1556.35
BHARTIHEXA,1177.95
BHEL,294.6
BIGBLOC,242.05
BIKAJI,831.2
BIL,478.4
BINANIIND,15.18
BIOCON,356.7
BIOFILCHEM,64.93
BIRLACABLE,277.45
BIRLACORPN,1332.65
BIRLAMONEY,160.19
BLAL,281.8
BLBLIMITED,20.04
BLISSGVS,127.75
BLKASHYAP,116.89
BLS,434.05
BLSE,246.96
BLUECHIP,5.33
BLUEDART,8275.6
BLUEJET,487.9
BLUESTARCO,1746.65
BODALCHEM,82.89
BOMDYEING,223.21
BOROLTD,433.4
BORORENEW,526.35
BOROSCI,203.06
BOSCHLTD,31940.15
BPCL,348.15
BPL,124.34
BRIGADE,1173.6
BRITANNIA,5703.35
BRNL,49.65
BROOKS,125.1
BSE,2780.65
BSE500IETF,39.84
BSHSL,197.18
BSL,229.29
BSLGOLDETF,64.02
BSLNIFTY,28.76
BSLSENETFG,80.88
BSOFT,661.35
BTML,12.33
BURNPUR,7.51
BUTTERFLY,922.85
BVCL,64.31
BYKE,77.05
CALSOFT,21.69
CAMLINFINE,103.66
CAMPUS,280.45
CAMS,4337.95
CANBK,110.23
CANFINHOME,873.7
CANTABIL,255.65
CAPACITE,389.6
CAPITALSFB,302.2
CAPLIPOINT,1847.8
CAPTRUST,161.07
CARBORUNIV,1509.8
CAREERP,537.65
CARERATING,990.65
CARTRADE,871.05
CARYSIL,907.6
CASTROLIND,274.25
CCHHL,20.64
CCL,716.95
CDSL,1493.25
CEATLTD,2842.75
CEIGALL,396.85
CELEBRITY,17.35
CELLO,888.4
CENTENKA,763.9
CENTEXT,27.73
CENTRALBK,61.13
CENTRUM,36.52
CENTUM,1565.6
CENTURYPLY,793.65
CENTURYTEX,2492.25
CERA,9587.6
CEREBRAINT,12.1
CESC,204.11
CGCL,213.77
CGPOWER,711.8
CHALET,810.4
CHAMBLFERT,515.15
CHEMBOND,630.75
CHEMCON,273.1
CHEMFAB,901.25
CHEMPLASTS,499.65
CHENNPETRO,970.1
CHEVIOT,1560.7
CHOICEIN,431.3
CHOLAFIN,1450.7
CHOLAHLDNG,1639.95
CIEINDIA,584.05
CIGNITITEC,1369.8
CINELINE,123.2
CINEVISTA,17.75
CIPLA,1618.2
CLEAN,1514.1
CLEDUCATE,94.6
CLSEL,235.74
CMSINFO,558.65
COALINDIA,526.35
COASTCORP,280.75
COCHINSHIP,2012.7
COFFEEDAY,38.99
COFORGE,6255.45
COLPAL,3594.6
COMMOIETF,95.22
COMPUSOFT,31.89
COMSYN,66.97
CONCOR,971.95
CONCORDBIO,1612.6
CONFIPET,89.72
CONS,121.52
CONSOFINVT,227.63
CONSUMBEES,132.7
CONSUMIETF,123.27
CONTROLPR,778.7
CORALFINAC,58.57
CORDSCABLE,221.24
COROMANDEL,1735.95
COSMOFIRST,784.85
COUNCODOS,7.43
CPSEETF,102.98
CRAFTSMAN,6155.95
CREATIVE,795.8
CREATIVEYE,6.2
CREDITACC,1201.75
CREST,464.2
CRISIL,4538.05
CROMPTON,462.8
CROWN,268.45
CSBBANK,323.8
CSLFINANCE,415.45
CTE,110.11
CUB,169.69
CUBEXTUB,104.15
CUMMINSIND,3737.05
CUPID,86.78
CYBERMEDIA,28.0
CYBERTECH,201.64
CYIENT,2012.7
CYIENTDLM,772.7
DABUR,644.4
DALBHARAT,1824.3
DALMIASUG,445.6
DAMODARIND,48.96
DANGEE,7.46
DATAMATICS,707.15
DATAPATTNS,2871.85
DAVANGERE,6.9
