,CLOSE_PRICE
20MICRONS,93.2
21STCENMGM,22.4
360ONE,482.15
3IINFOLTD,33.85
3MINDIA,27077.45
3PLAND,20.4
4THDIM,16.85
5PAISA,368.95
63MOONS,244.55
A2ZINFRA,7.2
AAATECH,55.7
AAKASH,5.95
AAREYDRUGS,33.7
AARON,219.7
AARTIDRUGS,458.65
AARTIIND,490.7
AARTIPHARM,372.0
AARTISURF,613.5
AARVEEDEN,20.05
AARVI,138.6
AAVAS,1531.75
ABAN,40.45
ABB,4360.7
ABBOTINDIA,23209.2
ABCAPITAL,193.75
ABFRL,211.05
ABSLAMC,376.2
ABSLBANETF,45.63
ABSLLIQUID,999.99
ABSLNN50ET,44.95
ACC,1820.45
ACCELYA,1329.4
ACCURACY,11.0
ACE,483.75
ACEINTEG,37.8
ACI,537.9
ACL,87.55
ADANIENT,2387.7
ADANIGREEN,946.0
ADANIPORTS,741.7
ADANIPOWER,247.1
ADANITRANS,770.6
ADFFOODS,1046.35
ADL,77.0
ADORWELD,1199.95
ADROITINFO,17.3
ADSL,111.25
ADVANIHOTR,88.7
ADVENZYMES,282.95
AEGISCHEM,328.25
AETHER,1060.2
AFFLE,1062.95
AGARIND,616.9
AGI,563.55
AGRITECH,102.85
AGROPHOS,35.05
AGSTRA,59.5
AHL,274.65
AHLADA,111.75
AHLEAST,122.55
AHLUCONT,613.95
AIAENG,3136.4
AIRAN,17.15
AIROLAM,89.25
AJANTPHARM,1448.9
AJMERA,364.7
AJOONI,4.55
AKASH,28.55
AKG,28.0
AKI,22.75
AKSHAR,67.35
AKSHARCHEM,237.15
AKSHOPTFBR,8.45
AKZOINDIA,2427.8
ALANKIT,11.3
ALBERTDAVD,618.1
ALEMBICLTD,71.9
ALICON,860.2
ALKALI,115.45
ALKEM,3494.8
ALKYLAMINE,2700.6
ALLCARGO,281.1
ALLSEC,535.25
ALMONDZ,79.4
ALOKINDS,16.6
ALPA,70.45
ALPHAGEO,278.35
AMARAJABAT,680.05
AMBER,2241.6
AMBICAAGAR,37.35
AMBIKCO,1621.6
AMBUJACEM,432.7
AMDIND,64.35
