,CLOSE_PRICE
20MICRONS,107.3
21STCENMGM,25.15
3IINFOLTD,46.7
3MINDIA,23828.25
3PLAND,18.3
4THDIM,37.0
5PAISA,348.25
63MOONS,176.35
A2ZINFRA,11.2
AAKASH,14.3
AAREYDRUGS,40.8
AARON,160.45
AARTIDRUGS,471.45
AARTIIND,876.4
AARTISURF,829.45
AARVEEDEN,25.85
AARVI,168.2
AAVAS,2199.55
ABAN,54.45
ABB,3144.1
ABBOTINDIA,17908.0
ABCAPITAL,115.95
ABFRL,344.75
ABMINTLLTD,77.8
ABSLAMC,474.85
ABSLBANETF,40.87
ABSLNN50ET,45.41
ACC,2555.7
ACCELYA,1144.6
ACCURACY,255.8
ACE,294.55
ACRYSIL,641.7
ADANIENT,3716.3
ADANIGREEN,2363.6
ADANIPORTS,946.65
ADANIPOWER,396.25
ADANITRANS,3997.9
ADFFOODS,719.5
ADL,70.7
ADORWELD,1002.15
ADROITINFO,19.0
ADSL,111.4
ADVANIHOTR,83.45
ADVENZYMES,308.55
AEGISCHEM,276.8
AETHER,973.75
AFFLE,1267.95
AGARIND,612.95
AGI,395.1
AGRITECH,88.6
AGROPHOS,37.85
AGSTRA,83.65
AHLADA,107.1
AHLEAST,361.85
AHLUCONT,449.0
AIAENG,2602.0
AIRAN,18.5
AIROLAM,100.1
AJANTPHARM,1272.2
AJMERA,274.95
AJOONI,36.95
AJRINFRA,1.7
AKASH,39.55
AKG,55.5
AKSHAR,114.3
AKSHARCHEM,349.7
AKSHOPTFBR,12.4
AKZOINDIA,2205.45
ALANKIT,12.75
ALBERTDAVD,567.25
ALEMBICLTD,68.75
ALICON,938.2
ALKALI,95.05
ALKEM,3279.2
ALKYLAMINE,2997.4
ALLCARGO,387.55
ALLSEC,508.6
ALMONDZ,88.85
ALOKINDS,19.35
ALPA,63.4
ALPHAGEO,318.9
ALPSINDUS,3.3
AMARAJABAT,513.85
AMBER,2279.15
AMBICAAGAR,28.45
AMBIKCO,1790.8
AMBUJACEM,534.05
AMDIND,75.55
AMIORG,1019.45
AMJLAND,30.2
AMRUTANJAN,727.65
ANANDRATHI,662.1
ANANTRAJ,89.4
ANDHRAPAP,455.05
ANDHRSUGAR,146.65
ANDREWYU,21.6
ANGELONE,1507.0
ANIKINDS,39.1
ANKITMETAL,6.25
ANMOL,176.5
ANSALAPI,22.45
ANSALHSG,6.35
ANTGRAPHIC,1.0
ANUP,919.2
ANURAS,783.55
APARINDS,1347.2
APCL,264.65
APCOTEXIND,607.35
APEX,314.55
APLAPOLLO,1068.7
APLLTD,609.7
APOLLO,171.2
APOLLOHOSP,4608.9
APOLLOPIPE,535.75
APOLLOTYRE,288.1
APOLSINHOT,896.6
APTECHT,251.0
APTUS,315.85
ARCHIDPLY,83.7
ARCHIES,20.9
ARENTERP,33.8
ARIES,139.0
ARIHANTCAP,76.95
ARIHANTSUP,245.15
ARMANFIN,1412.6
AROGRANITE,47.8
ARROWGREEN,100.95
ARSHIYA,17.65
ARSSINFRA,21.4
ARTEMISMED,63.05
ARTNIRMAN,111.6
ARVEE,96.1
ARVIND,104.2
ARVINDFASN,325.8
ARVSMART,263.55
ASAHIINDIA,639.85
ASAHISONG,305.45
ASAL,440.35
ASALCBR,468.55
ASHAPURMIN,94.4
ASHIANA,158.3
ASHIMASYN,15.95
ASHOKA,84.5
ASHOKLEY,164.5
ASIANENE,79.55
ASIANHOTNR,91.3
ASIANPAINT,3436.0
ASIANTILES,60.45
ASPINWALL,265.05
ASTEC,1895.45
ASTERDM,247.95
ASTRAL,2342.75
ASTRAMICRO,324.6
ASTRAZEN,3245.45
ASTRON,36.25
ATFL,766.5
ATGL,3629.9
ATLANTA,17.1
ATUL,9377.55
ATULAUTO,199.5
AUBANK,663.4
AURIONPRO,436.0
AUROPHARMA,520.7
AURUM,128.45
AUSOMENT,77.75
AUTOAXLES,1990.8
AUTOBEES,134.47
AUTOIND,96.0
AVADHSUGAR,540.55
AVANTIFEED,474.55
AVROIND,113.05
AVTNPL,105.05
AWHCL,311.9
AWL,815.95
AXISBANK,789.2
AXISBNKETF,410.91
AXISBPSETF,10.47
AXISCADES,175.55
AXISCETF,81.87
AXISGOLD,43.03
AXISHCETF,80.77
AXISNIFTY,187.79
AXISTECETF,275.24
AXITA,312.15
AYMSYNTEX,83.55
BAFNAPH,102.7
BAGFILMS,6.5
BAJAJ-AUTO,3728.9
BAJAJCON,161.3
BAJAJELEC,1110.4
BAJAJFINSV,1772.35
BAJAJHCARE,365.9
BAJAJHIND,11.15
BAJAJHLDNG,6901.9
BAJFINANCE,7719.55
BALAJITELE,51.4
BALAMINES,3591.8
BALAXI,575.0
BALKRISHNA,35.1
BALKRISIND,1918.35
BALMLAWRIE,115.1
BALPHARMA,94.55
BALRAMCHIN,372.1
BANARBEADS,82.5
BANARISUG,2955.0
BANCOINDIA,194.05
BANDHANBNK,287.25
BANG,43.95
BANKA,72.85
BANKBARODA,138.45
BANKBEES,411.67
BANKINDIA,51.2
BANSWRAS,102.85
BARBEQUE,1082.45
BARTRONICS,4.3
BASF,2916.05
BASML,61.55
BATAINDIA,1906.1
BAYERCROP,4906.65
BBETF0432,1018.01
BBL,1948.7
BBOX,146.1
BBTC,975.7
BCG,38.15
BCLIND,332.25
BCONCEPTS,199.75
BCP,5.2
BDL,927.9
BEARDSELL,22.8
BECTORFOOD,364.25
BEDMUTHA,70.25
BEL,110.0
BEML,1590.0
BEPL,123.3
BERGEPAINT,635.3
BESTAGRO,1265.0
BFINVEST,310.35
BFUTILITIE,459.6
BGRENERGY,79.25
BHAGCHEM,1428.15
BHAGERIA,189.35
BHAGYANGR,50.55
BHAGYAPROP,41.6
BHANDARI,5.6
BHARATFORG,781.55
BHARATGEAR,235.55
BHARATRAS,11682.85
BHARATWIRE,121.85
BHARTIARTL,784.1
BHEL,59.4
BIGBLOC,132.4
BIL,201.65
BINDALAGRO,27.75
BIOCON,289.5
BIOFILCHEM,50.3
BIRLACABLE,134.9
BIRLACORPN,1055.0
BIRLAMONEY,58.1
BKMINDST,1.4
